,baseline,v5,v5(compound),defensive,defensive(fixed),balanced,balanced(fixed),aggressive,aggressive(fixed),SOXL 보유
2005-04-26,127018782.34055075,94161627.868159,91418546.27054119,126266539.1177335,124540398.8616422,133030778.24441388,131863800.28273726,122372500.63679725,138661641.63663816,2397225.360360262
2005-04-27,126346757.21842545,93363193.17705667,90678363.6616132,126099649.22467624,124409461.03643075,132799308.19816999,131691140.15971181,122049873.92299733,138402651.45209998,2346728.3295386536
2005-04-28,124576920.62678644,91374250.07605824,88836854.1079177,125817049.12821998,124187739.74848053,132320724.12622853,131334150.62227349,121382815.66248807,137867167.14594254,2261800.9447941664
2005-04-29,126543138.91137064,93745306.084306,91026140.56859703,126130565.11809644,124433716.90821995,132832493.93528208,131715894.34948902,122096128.74293298,138439782.73676583,2337512.837083346
2005-05-02,126453165.3497343,93636472.83991766,90925541.63314752,126114184.94240071,124420865.41348356,132805755.65188105,131695949.4997064,122058860.48880546,138409865.4620919,2333131.188474311
2005-05-03,126047854.5516788,93155845.72333416,90481676.04619355,126048770.55836956,124369542.84969209,132698976.06836392,131616299.55654594,121910029.3692283,138290390.5473512,2315633.0339901983
2005-05-04,130313128.15414232,98094283.12851615,95037937.10149664,126631738.56344275,124826925.62676625,133648672.37897617,132324705.17743716,123233731.52755368,139352998.97868803,2472327.689677653
2005-05-05,130313128.15414232,98153646.10075264,95093275.88232873,126678374.36651543,124863514.96431968,133710907.05009365,132371127.79732238,123320475.22399679,139422632.90851584,2490509.351008827
2005-05-06,130313128.15414232,98153646.10075264,95093275.88232873,126803952.80710645,124962040.81033237,133878458.99686685,132496109.58314072,123554011.85154498,139610105.5872434,2545313.138565798
2005-05-09,130313128.15414232,98153646.10075264,95093275.88232873,126841263.20473781,124991313.65744211,133927902.72526805,132532991.07328218,123622927.32406917,139665427.82245559,2574659.3770645624
2005-05-10,130305635.64701104,98146153.59362136,95086151.0131304,126744200.51070091,124915160.58529654,133799164.71659015,132436961.7132113,123443490.19449288,139521383.7823493,2492171.192205633
2005-05-11,130340753.33814514,98181271.28475545,95119545.56962696,126766784.62574379,124932879.54271133,133829622.459855,132459681.01441042,123485942.69225125,139555462.73414794,2504352.9716574075
2005-05-12,130404471.22006705,98244989.16667737,95180136.97550443,126815800.1292159,124971335.93637729,133895726.51653007,132508989.91957204,123578079.60119472,139629426.09189036,2533378.7866966627
2005-05-13,130404471.22006705,98244989.16667737,95180136.97550443,127183715.88903041,125259993.85669006,134391848.93060336,132879061.80766127,124269583.08811368,140184533.9240242,2775071.9270086735
2005-05-16,130404471.22006705,98244989.16667737,95180136.97550443,127201529.41198725,125273969.92146303,134415186.51449102,132896469.97848313,124302111.39196934,140210646.18025702,2806120.7706354843
2005-05-17,130404471.22006705,98244989.16667737,95180136.97550443,127235295.30109155,125300461.83181573,134459410.830061,132929458.1594203,124363751.96202977,140260128.45166278,2871981.063542342
2005-05-18,130404471.22006705,98244989.16667737,95180136.97550443,127268604.4540096,125326595.39786236,134502609.9530292,132961681.61989523,124423963.60197379,140308463.64237523,2975645.63668094
2005-05-19,130404471.22006705,98244989.16667737,95180136.97550443,127269603.87386853,125327379.5188202,134503921.1765463,132962659.6989921,124425791.20663044,140309930.76102054,2992764.5918046865
2005-05-20,130404471.22006705,98244989.16667737,95180136.97550443,127273023.84751318,125330062.74848205,134508408.129483,132966006.64542699,124432045.1945845,140314951.18067285,3059775.7547702566
2005-05-23,130404471.22006705,98244989.16667737,95180136.97550443,127273023.84751318,125330062.74848205,134508408.129483,132966006.64542699,124432045.1945845,140314951.18067285,3080702.819470484
2005-05-24,130404471.22006705,98244989.16667737,95180136.97550443,127273023.84751318,125330062.74848205,134508408.129483,132966006.64542699,124432045.1945845,140314951.18067285,3191063.1053147535
2005-05-25,130404471.22006705,98244989.16667737,95180136.97550443,127257495.17990416,125317832.50391695,134486623.28367114,132949730.75232346,124401891.16390331,140290537.34101754,3110373.2734223623
2005-05-26,130404471.22006705,98244989.16667737,95180136.97550443,128033176.8351908,125928752.67992017,135574810.99461865,133762737.5099983,125908132.97558035,141510047.47752982,3269010.3778332947
2005-05-27,130396978.71453005,98237496.66114037,95173005.59784108,128033176.8351908,125928752.67992017,135552629.99494138,133746165.5925235,125877431.00270042,141485189.60131764,3227116.432500002
2005-05-31,130343351.04678294,98183868.99339326,95121963.24267656,128033176.8351908,125928752.67992017,135416050.3172623,133644123.8820433,125688383.36638728,141332127.03559735,3207245.4380183956
2005-06-01,130663175.34767653,98503693.29428685,95426360.98143423,128033176.8351908,125928752.67992017,135908281.1917965,134011880.50032036,126369707.88649407,141883761.96301293,3279188.088665532
2005-06-02,130663175.34767653,98503693.29428685,95426360.98143423,128033176.8351908,125928752.67992017,136779029.94940302,134662436.2355114,127574960.36069381,142859595.56579944,3423372.957454495
2005-06-03,130655682.8418842,98496200.78849453,95419211.15491761,128017499.9524087,125916405.52204166,136757147.26946306,134646087.19933772,127544671.30899045,142835072.01153886,3335106.722341981
2005-06-06,130494821.94459917,98335339.89120948,95265707.9744033,127680826.33415613,125651240.41391003,136287207.7466706,134294984.94501364,126894201.50628099,142308418.63005278,3266838.5134967957
2005-06-07,130132023.8032762,97972541.74988651,94919527.82078391,126919339.94896519,125051491.55114506,135224500.9588369,133501013.10226077,125423249.09412238,141117460.86592343,3188578.4015059522
2005-06-08,130627221.38884163,98467739.33545195,95391800.06562534,127976314.8417914,125883968.01070079,136699376.3576118,134602925.26806453,127464707.33104935,142770329.1146291,3261994.2416681135
2005-06-09,131288185.60047217,99128703.5470825,96022510.0662148,130344837.55957352,127749423.30188987,140004351.63337797,137072145.69649693,132039310.04335794,146474159.7572778,3447422.7288873405
2005-06-10,131280693.09478775,99121211.04139808,96015315.57349761,130329423.35374346,127737350.69175994,139982696.08411354,137056142.92192388,132009217.40258226,146450155.5954182,3290922.4128720737
2005-06-13,131235751.4745263,99076269.42113663,95972162.03897516,130252379.92098159,127677009.25496705,139874457.10819274,136976157.69917446,131858808.07421397,146330177.76129407,3274473.6926177754
2005-06-14,130928930.53528933,98769448.48189966,95677559.4595912,129929381.66146861,127424033.73963827,139420704.25570452,136640849.6078068,131228270.12376027,145827215.62424257,3208901.591224796
2005-06-15,131067239.27647471,98913791.51503195,95816133.22001503,130133926.99660096,127584229.74240915,139707872.09759456,136853050.42354602,131627327.09843846,146145516.84785143,3230467.6068472406
2005-06-16,131330236.95652214,99313687.68157582,96200047.42697988,130772367.65932745,128084244.28495055,140604199.6876195,137515385.88743716,132872890.57811557,147139020.0436882,3304470.2580195684
2005-06-17,131330236.95652214,99313687.68157582,96200047.42697988,130769790.38152595,128082225.81016323,140600581.36357546,137512712.15033376,132867862.44739968,147135009.43803316,3304470.2580195684
2005-06-20,131256001.39718167,99172373.78901136,96064345.73963246,130448262.64036325,127830411.41957402,140126775.7170565,137162597.07489052,132209447.48383519,146609836.82486826,3258664.871284095
2005-06-21,131482188.70581493,99494505.20609063,96373903.68526827,130879946.24936794,128168498.15026937,141167354.78076434,137931516.2269891,133655477.24857238,147763215.55301625,3322201.6201103074
2005-06-22,131482188.70581493,99667066.92624244,96539595.58167255,131080222.30141899,128325358.68180344,141905592.32082614,138477030.07578132,134681356.11833307,148581486.3262045,3399433.153836156
2005-06-23,131482188.70581493,99667066.92624244,96539595.58167255,131080222.30141899,128325358.68180344,141905592.32082614,138477030.07578132,134681356.11833307,148581486.3262045,3403165.4235405633
2005-06-24,131474696.19973484,99659574.42016235,96532362.34571387,131064964.50042981,128313409.5304577,141884178.9996664,138461207.3536931,134651599.01017708,148557752.24307218,3208841.8673255383
2005-06-27,131114943.94862571,99299822.16905326,96185059.47706002,130332188.62555829,127739535.88788481,140855783.38753033,137701305.7090032,133222484.89802442,147417899.7760374,3057978.3498021197
2005-06-28,131621578.40727705,99806456.62770456,96674143.83631821,131369745.70897822,128552099.02384216,142311681.61294404,138777097.40136072,135245679.7417627,149031587.3145737,3165785.675952722
2005-06-29,131537641.02900174,99722519.24942929,96593100.9132059,131215264.83994767,128431117.28568937,142072428.034603,138600308.24985743,134913200.041193,148766403.58731872,3124861.5329835657
2005-06-30,131206624.26912105,99391502.48954856,96273289.8800104,130913149.55202565,128194515.60882987,141103784.99233583,137884558.94847006,133567121.32887024,147692779.6352377,3049017.8689166587
2005-07-01,131359768.88557333,99550688.86823773,96427075.33651438,131128135.91316614,128362882.24097756,141577583.50705424,138234657.94377625,134225537.3467047,148217928.128197,3073310.3279401385
