profile,price_mode,capital_usd,capital_krw_m,cagr,cagr_frac,cagr_gap,mdd,mdd_frac,expo,expo_frac,skipped_ratio,fills
balanced,scaled,100000,140,0.28656610725965215,0.2851699293352967,0.001396177924355424,-0.18092638225854285,-0.18138005060591122,0.1662390046469779,0.1658873526724786,0.004790245318623893,6856
balanced,scaled,300000,420,0.2849258408591713,0.2851699293352967,-0.00024408847612544804,-0.18116408247673177,-0.18138005060591122,0.16582049674011778,0.1658873526724786,0.00043649061545176777,6870
balanced,raw,2000,3,0.275537215709454,0.28510531156576,-0.009568095856306025,-0.19668126887097448,-0.1813794900557829,0.16645266318422777,0.16562201222201015,0.12345319551608677,6021
balanced,raw,3000,4,0.28420028933976393,0.28510531156576,-0.0009050222259960883,-0.18234253942600986,-0.1813794900557829,0.16696471432184082,0.16562201222201015,0.07056277056277056,6441
balanced,raw,5000,7,0.2871246864893724,0.28510531156576,0.0020193749236123715,-0.17862042684239743,-0.1813794900557829,0.16286967747865624,0.16562201222201015,0.031149927219796217,6656
balanced,raw,7000,10,0.2869469273185836,0.28510531156576,0.0018416157528236,-0.1807834985968939,-0.1813794900557829,0.16592524415798135,0.16562201222201015,0.017808020848414652,6784
balanced,raw,10000,14,0.28447761099769386,0.28510531156576,-0.0006277005680661585,-0.1792649586501679,-0.1813794900557829,0.16346982781640715,0.16562201222201015,0.009612583745994756,6800
balanced,raw,15000,21,0.2855975774487771,0.28510531156576,0.0004922658830170956,-0.18112427674096332,-0.1813794900557829,0.16589369848507154,0.16562201222201015,0.004494056248187881,6867
balanced,raw,20000,28,0.2852998027014455,0.28510531156576,0.0001944911356854817,-0.18103211350046367,-0.1813794900557829,0.16566716070384277,0.16562201222201015,0.0036221385105766443,6877
balanced,raw,30000,42,0.2849325947610064,0.28510531156576,-0.00017271680475361428,-0.1812561465292979,-0.1813794900557829,0.16580456096475407,0.16562201222201015,0.0008704482808646452,6887
balanced,raw,50000,70,0.2851106565316328,0.28510531156576,5.344965872788876e-06,-0.18124888538758044,-0.1813794900557829,0.1657079145471877,0.16562201222201015,0.00043535045711797995,6888
balanced,raw,100000,140,0.2851183151538845,0.28510531156576,1.3003588124504972e-05,-0.18132933275959995,-0.1813794900557829,0.16565943253787266,0.16562201222201015,0.0002902336380786533,6889
balanced,raw,300000,420,0.28510186094540946,0.28510531156576,-3.4506203505646482e-06,-0.18134776959401877,-0.1813794900557829,0.1656366810525593,0.16562201222201015,0.0,6891
aggressive,scaled,2000,3,0.41452406889142,0.3670958509232767,0.04742821796814334,-0.2451284166241089,-0.3661155216292331,0.23009444951504573,0.2289127235055201,0.3445036016285625,4186
aggressive,scaled,3000,4,0.2822338930305768,0.3670958509232767,-0.0848619578926999,-0.3494944299125171,-0.3661155216292331,0.2233336303797603,0.2289127235055201,0.33568498769483185,4049
aggressive,scaled,5000,7,0.3827186358056309,0.3670958509232767,0.015622784882354246,-0.3189341824568247,-0.3661155216292331,0.2395973713209911,0.2289127235055201,0.17416067146282974,5510
aggressive,scaled,7000,10,0.32941247678943,0.3670958509232767,-0.0376833741338467,-0.36326657142489915,-0.3661155216292331,0.23359487864971204,0.2289127235055201,0.1626078914919852,5433
aggressive,scaled,10000,14,0.34468085446671815,0.3670958509232767,-0.022414996456558534,-0.34743290388077885,-0.3661155216292331,0.23138256371660246,0.2289127235055201,0.10264290104486785,5840
aggressive,scaled,15000,21,0.35660384416910196,0.3670958509232767,-0.01049200675417472,-0.35863797062023917,-0.3661155216292331,0.23076576552565567,0.2289127235055201,0.05629903091832026,6135
aggressive,scaled,20000,28,0.3471670427256661,0.3670958509232767,-0.01992880819761056,-0.36315737033394035,-0.3661155216292331,0.22838316158313418,0.2289127235055201,0.03628222942720395,6242
aggressive,scaled,30000,42,0.36514374381021253,0.3670958509232767,-0.0019521071130641499,-0.3623867317188907,-0.3661155216292331,0.22994484809892946,0.2289127235055201,0.0198989744374713,6403
aggressive,scaled,50000,70,0.36519431113246537,0.3670958509232767,-0.001901539790811313,-0.36428950971794716,-0.3661155216292331,0.22953369941010446,0.2289127235055201,0.0061330880098129405,6482
aggressive,scaled,100000,140,0.3652923101606076,0.3670958509232767,-0.001803540762669087,-0.3653323172092745,-0.3661155216292331,0.2293962071467952,0.2289127235055201,0.0024532352039251764,6506
aggressive,scaled,300000,420,0.36525268214532325,0.3670958509232767,-0.00184316877795343,-0.36593389822572353,-0.3661155216292331,0.2292961925827543,0.2289127235055201,0.00015332720024532353,6521
aggressive,raw,2000,3,0.38385538922735996,0.366044442789053,0.01781094643830694,-0.36179287427319984,-0.36611528574761076,0.23192598137977719,0.22879928812647812,0.058877086494688924,6202
aggressive,raw,3000,4,0.35482836364818127,0.366044442789053,-0.011216079140871749,-0.36410852035769103,-0.36611528574761076,0.22778185959616754,0.22879928812647812,0.03509578544061303,6296
aggressive,raw,5000,7,0.37155379897048024,0.366044442789053,0.005509356181427227,-0.36264231080252596,-0.36611528574761076,0.22986724083406762,0.22879928812647812,0.015967153284671534,6471
aggressive,raw,7000,10,0.361879895724033,0.366044442789053,-0.004164547065020008,-0.3650270008668054,-0.36611528574761076,0.22959143147877237,0.22879928812647812,0.0073439412484700125,6488
aggressive,raw,10000,14,0.36354101517307047,0.366044442789053,-0.0025034276159825453,-0.36516411733192455,-0.36611528574761076,0.22956994446921525,0.22879928812647812,0.003824384274131865,6512
aggressive,raw,15000,21,0.3641223111929228,0.366044442789053,-0.0019221315961301944,-0.3645434377033818,-0.36611528574761076,0.2292422872739702,0.22879928812647812,0.0024476059354443937,6521
aggressive,raw,20000,28,0.36430933999890813,0.366044442789053,-0.0017351027901448823,-0.3652690141286191,-0.36611528574761076,0.22929529920489738,0.22879928812647812,0.0009178522257916476,6531
aggressive,raw,30000,42,0.3644271775972654,0.366044442789053,-0.0016172651917876202,-0.36565441935486465,-0.36611528574761076,0.2291936947797718,0.22879928812647812,0.000306044376434583,6533
aggressive,raw,50000,70,0.3641556744767227,0.366044442789053,-0.0018887683123303134,-0.3660827112015942,-0.36611528574761076,0.22919387401420988,0.22879928812647812,0.0001529753709652746,6536
