Date,Open,High,Low,Close,Volume
2003-12-05,29.719730,29.913536,29.458512,29.525925,87490200.000000
2003-12-08,29.509085,29.770303,29.306851,29.694466,86961200.000000
2003-12-09,29.862981,29.879834,28.944509,29.011921,109949500.000000
2003-12-10,29.070906,29.239434,28.759132,29.121466,103504200.000000
2003-12-11,29.070901,29.820846,29.062476,29.745008,108374700.000000
2003-12-12,29.753450,29.778728,29.407970,29.694466,72189400.000000
2003-12-15,30.275876,30.326436,29.197304,29.306845,106091400.000000
2003-12-16,29.315268,29.509073,29.003490,29.365824,89854700.000000
2003-12-17,29.332114,29.492213,29.129880,29.416376,68539900.000000
2003-12-18,29.450092,30.031509,29.450092,29.964100,89978100.000000
2003-12-19,30.006249,30.039955,29.660768,29.879852,89762300.000000
2003-12-22,29.787152,30.065223,29.736595,29.972532,63580000.000000
2003-12-23,29.997796,30.351704,29.938811,30.200029,66999800.000000
2003-12-24,30.211836,30.363570,30.178117,30.262415,44840300.000000
2003-12-26,30.312999,30.422585,30.194984,30.220272,25497600.000000
2003-12-29,30.372002,30.793484,30.363574,30.717617,63296200.000000
2003-12-30,30.793490,30.835641,30.599608,30.818781,48249400.000000
2003-12-31,30.869337,30.886196,30.557441,30.734463,60494600.000000
2004-01-02,30.903083,31.012669,30.532180,30.650194,55234100.000000
2004-01-05,30.835640,31.324558,30.818780,31.265551,69717900.000000
2004-01-06,31.257109,31.543714,31.147523,31.476278,60033000.000000
2004-01-07,31.425709,31.762896,31.248687,31.762896,71830000.000000
2004-01-08,31.906210,32.032656,31.695469,32.015797,76800900.000000
2004-01-09,31.788192,32.327689,31.687037,31.805052,94296500.000000
2004-01-12,31.906188,32.327670,31.762886,32.310814,77668400.000000
2004-01-13,32.260256,32.336122,31.695468,31.990507,92973900.000000
2004-01-14,32.100094,32.243396,31.821914,32.100094,68122400.000000
2004-01-15,31.973635,32.420405,31.720746,32.184376,104427700.000000
2004-01-16,32.352968,32.563709,32.175943,32.513130,77324100.000000
2004-01-20,32.648020,32.875621,32.293976,32.487858,81998100.000000
2004-01-21,32.361410,32.589011,32.032654,32.352982,112180300.000000
2004-01-22,32.496276,32.614290,32.083225,32.159092,90061900.000000
2004-01-23,32.209655,32.420396,31.847180,32.041061,88751300.000000
2004-01-26,32.015809,32.580597,31.897794,32.530018,84538000.000000
2004-01-27,32.462554,32.563712,31.771324,31.813475,97191600.000000
2004-01-28,31.982081,32.083239,31.189695,31.273991,127959700.000000
2004-01-29,31.392000,31.451007,30.903079,31.392000,143925900.000000
2004-01-30,31.358259,31.560568,31.164377,31.248672,84264700.000000
2004-02-02,31.358276,31.594305,31.037948,31.164394,94507900.000000
2004-02-03,31.113798,31.391977,31.054790,31.130657,73488700.000000
2004-02-05,30.776627,30.945220,30.624896,30.742910,96784500.000000
2004-02-06,30.852507,31.425723,30.793499,31.299280,107174100.000000
2004-02-09,31.476284,31.510003,31.231823,31.290831,58817700.000000
2004-02-10,31.240255,31.535291,31.214964,31.341410,65042700.000000
2004-02-11,31.392011,31.754483,31.248706,31.678619,92503000.000000
2004-02-12,31.628024,31.779758,31.391995,31.400423,70556400.000000
2004-02-13,31.518434,32.007355,30.987365,31.139099,90570400.000000
2004-02-17,31.425722,31.712330,31.375146,31.560596,69678600.000000
2004-02-18,31.619590,31.754464,31.459427,31.653309,70972100.000000
2004-02-19,31.923071,31.948362,31.037958,31.172832,100843800.000000
2004-02-20,31.189685,31.307700,30.810350,31.071671,132347600.000000
2004-02-23,31.189685,31.214973,30.439447,30.726055,125199800.000000
2004-02-24,30.599615,30.894655,30.431022,30.650194,124521900.000000
2004-02-25,30.709198,30.911507,30.624903,30.835644,74457100.000000
2004-02-26,30.742914,31.054810,30.608040,30.911505,71327600.000000
2004-02-27,30.987379,31.139113,30.574328,30.827217,99383900.000000
2004-03-01,30.919935,31.248690,30.742913,31.231831,79700700.000000
2004-03-02,31.172816,31.341410,30.860920,30.869349,91536000.000000
2004-03-03,30.776636,30.877794,30.523748,30.700769,83938300.000000
2004-03-04,30.717623,31.046382,30.675476,30.987371,65905600.000000
2004-03-05,30.700764,31.316130,30.650188,30.877789,118107100.000000
2004-03-08,30.928352,31.037938,30.119107,30.152826,112599500.000000
2004-03-09,30.186558,30.329860,29.942097,30.060112,126140400.000000
2004-03-10,30.135983,30.346724,29.613346,29.663921,134226100.000000
2004-03-11,29.562762,29.950525,29.335162,29.394169,152132000.000000
2004-03-12,29.655490,30.001105,29.630202,29.933666,118369600.000000
2004-03-15,29.807220,29.840940,29.343591,29.411026,115813600.000000
2004-03-16,29.596479,29.714494,29.191857,29.461605,123265100.000000
2004-03-17,29.680783,30.026398,29.655495,29.925243,91684700.000000
2004-03-18,29.815644,29.891510,29.478460,29.790356,111249700.000000
2004-03-19,29.739796,29.891530,29.267738,29.293026,99976700.000000
2004-03-22,29.107556,29.124415,28.686074,28.922106,133870400.000000
2004-03-23,29.158131,29.208710,28.669210,28.686069,125945800.000000
2004-03-24,28.787230,29.191853,28.669213,29.014828,118876800.000000
2004-03-25,29.208712,29.891510,29.183420,29.790356,142122000.000000
2004-03-26,29.756644,29.992677,29.672349,29.689209,78430800.000000
2004-03-29,29.933665,30.312999,29.916808,30.169697,103864000.000000
2004-03-30,30.068531,30.296131,29.942088,30.270844,95716500.000000
2004-03-31,30.279290,30.346729,30.017973,30.211855,85993900.000000
2004-04-01,30.186552,30.557455,30.161261,30.481588,93048600.000000
2004-04-02,31.096969,31.324570,30.785073,31.273991,145964000.000000
2004-04-05,31.198111,31.611165,31.164395,31.569017,67351600.000000
2004-04-06,31.324566,31.400433,31.122253,31.172832,98611400.000000
2004-04-07,31.181250,31.282405,30.903070,31.139099,91004900.000000
2004-04-08,31.484714,31.518434,30.970509,31.139099,77176300.000000
2004-04-12,31.206523,31.391976,31.172804,31.332966,55285700.000000
2004-04-13,31.476293,31.493152,30.734483,30.877789,100624400.000000
2004-04-14,30.692344,31.147546,30.650197,31.029531,113663200.000000
2004-04-15,30.978935,31.071662,30.363572,30.473158,123565500.000000
2004-04-16,30.515307,30.616462,30.169692,30.422581,110736600.000000
2004-04-19,30.355138,30.844059,30.329850,30.793480,85838700.000000
2004-04-20,30.860934,31.012668,30.043257,30.076977,119545100.000000
2004-04-21,30.262424,30.439446,30.051683,30.338291,117850500.000000
2004-04-22,30.346722,31.198115,30.329862,31.122248,137623300.000000
2004-04-23,31.257129,31.408860,31.105396,31.366713,91855600.000000
2004-04-26,31.341412,31.434139,30.894642,31.139099,74392200.000000
2004-04-27,31.147532,31.349842,30.928360,31.080093,87548500.000000
2004-04-28,30.945228,30.953660,30.363584,30.515318,111740700.000000
2004-04-29,30.422590,30.633331,29.756647,30.043255,156917100.000000
2004-04-30,30.060106,30.178120,29.267720,29.309868,150829200.000000
2004-05-03,29.503756,29.942098,29.411029,29.588051,117007200.000000
2004-05-04,29.680775,30.135977,29.529042,29.714495,126176000.000000
2004-05-05,29.857802,30.093835,29.672352,29.950529,97528500.000000
2004-05-06,29.697637,29.874659,29.377310,29.722925,102733300.000000
2004-05-07,29.579621,30.043251,29.427887,29.478466,137686000.000000
2004-05-10,29.225574,29.419459,29.014833,29.225574,156951400.000000
2004-05-11,29.478471,29.824087,29.436321,29.663921,120493600.000000
2004-05-12,29.604911,29.748216,28.888392,29.722925,197765400.000000
2004-05-13,29.554337,29.883092,29.436319,29.512186,137841700.000000
2004-05-14,29.672361,29.765087,29.200299,29.293026,133689900.000000
2004-05-17,28.981112,29.217141,28.753511,29.014828,150652400.000000
2004-05-18,29.217148,29.419461,29.166569,29.276155,96686400.000000
2004-05-19,29.638632,29.933668,29.191862,29.242437,141646900.000000
2004-05-20,29.318303,29.520615,29.132853,29.377310,94938500.000000
2004-05-21,29.512174,29.647048,29.284576,29.520605,111329200.000000
2004-05-24,29.756645,29.891519,29.503756,29.722925,99861800.000000
2004-05-25,29.630208,30.414165,29.461614,30.313007,146321400.000000
2004-05-26,30.228696,30.506872,30.186548,30.506872,93789700.000000
2004-05-27,30.591186,30.768208,30.397305,30.700769,110183400.000000
2004-05-28,30.667048,30.810350,30.523742,30.810350,56379500.000000
2004-06-01,30.574322,30.810351,30.439448,30.768204,90592700.000000
2004-06-02,30.818787,30.903082,30.490028,30.700769,103519800.000000
2004-06-03,30.599607,30.650186,30.194985,30.329859,97301400.000000
2004-06-04,30.633318,30.869347,30.490013,30.506872,91233200.000000
2004-06-07,30.717622,31.273978,30.633327,31.231831,107532600.000000
2004-06-08,31.105400,31.349858,31.063249,31.273991,72530900.000000
2004-06-09,31.172828,31.231835,30.768205,30.835644,98215200.000000
2004-06-10,30.928364,31.054810,30.810349,31.054810,57101300.000000
2004-06-14,30.860925,30.860925,30.431011,30.616465,85129900.000000
2004-06-15,30.818774,31.181249,30.818774,31.012655,91937700.000000
2004-06-16,30.995805,31.105391,30.894650,30.962086,64743300.000000
2004-06-17,30.894643,30.903071,30.557456,30.675470,77844200.000000
2004-06-18,30.599603,31.054804,30.565883,30.717617,78641500.000000
2004-06-21,30.785054,30.877780,30.397291,30.473158,65373100.000000
2004-06-22,30.481599,30.936801,30.363584,30.919941,101524300.000000
2004-06-23,30.827201,31.349838,30.776622,31.290831,94393900.000000
2004-06-24,31.206543,31.484719,31.122244,31.231831,92343200.000000
2004-06-25,31.189668,31.518424,31.172808,31.467848,81005400.000000
2004-06-28,31.602747,31.628035,31.105398,31.206553,94033200.000000
2004-06-29,31.273977,31.687031,31.257120,31.501577,68265900.000000
2004-06-30,31.569014,31.948349,31.484716,31.813475,97809500.000000
2004-07-01,31.746029,31.746029,30.995792,31.223392,122141800.000000
2004-07-02,31.223423,31.231851,30.877807,31.037970,74056400.000000
2004-07-06,30.852481,30.852481,30.203402,30.371992,130232600.000000
2004-07-07,30.313018,30.591198,30.279298,30.431032,95623100.000000
2004-07-08,30.186557,30.456305,29.967384,30.093830,108755400.000000
2004-07-09,30.211869,30.380462,30.034847,30.136002,86014700.000000
2004-07-12,29.984245,30.085400,29.706068,30.009533,81844500.000000
2004-07-13,30.076965,30.186551,29.849364,29.967379,81222000.000000
2004-07-14,29.672353,30.051687,29.545907,29.663921,119489200.000000
2004-07-15,29.773506,29.916812,29.554337,29.562765,90405700.000000
2004-07-16,29.866229,29.883089,29.183427,29.225574,120387100.000000
2004-07-19,29.318303,29.478468,29.056986,29.166569,106387900.000000
2004-07-20,29.284582,30.001100,29.259291,29.866226,117453700.000000
2004-07-21,29.984249,30.051688,28.947403,28.997982,136086800.000000
2004-07-22,29.065413,29.596482,28.871532,29.394169,132135800.000000
2004-07-23,29.183418,29.217137,28.686069,28.837803,107107100.000000
