Date,Open,High,Low,Close,Volume
2022-10-07,350.320569,354.422224,342.696444,344.452942,107789500.000000
2022-10-10,345.563794,345.801158,339.591740,341.822937,76042800.000000
2022-10-11,340.132931,344.680831,337.730810,339.658203,92482800.000000
2022-10-12,340.066511,341.633107,338.291005,338.537872,76991800.000000
2022-10-13,331.559346,348.934399,330.514939,347.472229,147254500.000000
2022-10-14,349.921841,351.545431,338.917655,339.553802,123737000.000000
2022-10-17,345.611329,349.380669,339.221483,348.279297,93168200.000000
2022-10-18,356.169282,356.473115,348.943910,352.371460,97162900.000000
2022-10-19,350.339614,353.055072,347.073484,349.874390,79746900.000000
2022-10-20,349.428151,353.833639,346.181000,346.940582,88283100.000000
2022-10-21,346.665244,355.855968,345.165117,355.371765,131038400.000000
2022-10-24,356.890826,360.850039,354.251312,359.720184,85436900.000000
2022-10-25,359.644250,365.777724,359.530320,365.464417,78846300.000000
2022-10-26,362.331192,367.989938,362.074849,362.710968,104087300.000000
2022-10-27,363.707923,365.540365,360.156940,360.774109,81971800.000000
2022-10-28,360.669636,369.831875,360.489237,369.357147,100302000.000000
2022-10-31,366.907594,368.768519,365.787244,366.689209,96631300.000000
2022-11-01,370.420559,370.657922,363.916783,365.084595,85407600.000000
2022-11-02,364.495976,368.986911,355.817968,355.922394,126990400.000000
2022-11-03,352.694218,355.286242,350.149685,352.257477,87100100.000000
2022-11-04,357.944716,359.720193,351.298528,357.327576,103505200.000000
2022-11-07,358.618836,361.334294,356.549030,360.745636,68286900.000000
2022-11-08,361.846987,365.654313,358.628348,362.692017,84641100.000000
2022-11-09,360.726680,361.875542,354.726113,355.219849,78495500.000000
2022-11-10,368.436172,375.072885,366.148010,374.740570,141455800.000000
2022-11-11,375.595131,379.165093,373.715198,378.367554,93839900.000000
2022-11-14,376.611004,379.953077,374.873484,375.148834,71903500.000000
2022-11-15,380.874066,381.975438,374.550689,378.348511,93194500.000000
2022-11-16,376.724982,377.674438,374.835575,375.462219,68508500.000000
2022-11-17,370.724414,374.987489,370.420610,374.313354,74496300.000000
2022-11-18,377.636470,377.702939,373.174046,376.012909,92922500.000000
2022-11-21,374.693120,375.813471,372.813188,374.645630,51243200.000000
2022-11-22,376.582547,379.848676,375.177342,379.687256,60429000.000000
2022-11-23,379.354933,382.564098,379.127073,382.079895,68261600.000000
2022-11-25,381.519627,382.545055,381.244305,381.994354,30545400.000000
2022-11-28,378.918187,380.551252,375.139344,375.898926,67881600.000000
2022-11-29,376.031858,377.218677,373.420855,375.253326,52310000.000000
2022-11-30,375.500140,387.074005,373.591755,387.074005,144566700.000000
2022-12-01,388.108821,389.276661,384.292021,386.789093,76398200.000000
2022-12-02,381.918460,387.244891,381.814034,386.342926,85342700.000000
2022-12-05,383.532555,384.463003,378.044703,379.392914,77289800.000000
2022-12-06,379.231523,379.772691,371.844761,373.924042,77972200.000000
2022-12-07,373.079082,375.642624,372.158109,373.287964,65927900.000000
2022-12-08,375.167811,377.275574,373.392305,376.212189,60737900.000000
2022-12-09,374.977894,377.522427,373.278361,373.401794,81447700.000000
2022-12-12,374.189918,378.785309,373.525317,378.785309,75405800.000000
2022-12-13,389.485595,389.741937,378.899173,381.652588,123782500.000000
2022-12-14,381.310844,385.004240,376.278741,379.212555,108111300.000000
2022-12-15,374.370343,375.272337,368.284358,369.936401,117705900.000000
2022-12-16,367.390669,368.726005,363.441888,365.568878,119858000.000000
2022-12-19,365.759516,366.093357,360.809212,362.468842,79878100.000000
2022-12-20,361.715470,364.576916,360.399200,362.964966,74427200.000000
2022-12-21,365.549740,369.517616,365.015606,368.392120,78167400.000000
