Date,baseline,v5
2005-08-25,134355918.59985653,103183715.09670138
2005-08-26,134022838.60598981,102850635.10283467
2005-08-29,134686781.47706553,103514577.97391038
2005-08-30,134796637.58445668,103624434.08130154
2005-08-31,134917802.07679212,103745598.57363696
2005-09-01,134910309.56931782,103738106.06616268
2005-09-02,134821952.93491498,103649749.43175982
2005-09-06,135521181.4281548,104348977.92499964
2005-09-07,135521181.4281548,104348977.92499964
2005-09-08,135521181.4281548,104348977.92499964
2005-09-09,135521181.4281548,104348977.92499964
2005-09-12,135513688.92236534,104341485.41921018
2005-09-13,135707951.87913826,104535748.37598312
2005-09-14,135700459.3739748,104528255.87081964
2005-09-15,135469305.37105143,104297101.86789627
2005-09-16,135608620.6724758,104442471.4176712
2005-09-19,135341686.24463847,103914771.27105117
2005-09-20,134946299.8324633,103398068.07881153
2005-09-21,133828446.51890446,101775380.92635459
2005-09-22,133282925.5628361,101066290.41976188
2005-09-23,134485522.81425995,102554646.50295518
2005-09-26,134716478.77478796,102904979.24090205
2005-09-27,133921876.10692698,101850929.5152733
2005-09-28,133834218.85379703,101739068.17773719
2005-09-29,135950297.4028554,104413467.08105385
2005-09-30,136366974.9209442,105985542.24505793
2005-10-03,136366974.9209442,105985542.24505793
2005-10-04,136359482.4161855,105978049.74029922
2005-10-05,135978765.49383432,105597332.81794803
2005-10-06,135369645.13719136,104988212.46130507
2005-10-07,135802482.3329215,105421049.65703522
2005-10-10,134384088.26045528,104002655.584569
2005-10-11,132754026.37000197,102372593.6941157
2005-10-12,132475654.30239919,102094221.62651291
2005-10-13,134942148.4353301,104570818.56564826
2005-10-14,134851946.4127754,104437049.89944005
2005-10-17,135002133.52997196,104645523.2776621
2005-10-18,134598776.05938306,103937925.09110688
2005-10-19,134942354.8082605,104449690.5792349
2005-10-20,135036267.69888854,104628458.73053017
2005-10-21,135456350.12897557,105301368.61231557
2005-10-24,135857605.8038699,105702624.28720988
2005-10-25,135624929.54697496,105469948.03031494
2005-10-26,135577373.11851293,105422391.60185291
2005-10-27,133875844.04896179,103720862.53230177
2005-10-28,133753309.27303085,103598327.75637083
2005-10-31,136878306.65720576,106723325.14054571
2005-11-01,136582348.7797507,106427367.26309069
2005-11-02,138490927.0516119,108335945.53495187
2005-11-03,138490927.0516119,108335945.53495187
2005-11-04,138490927.0516119,108335945.53495187
2005-11-07,138490927.0516119,108335945.53495187
2005-11-08,138483434.54661196,108328453.02995194
2005-11-09,138817974.85819846,108662993.34153843
2005-11-10,138817974.85819846,108662993.34153843
2005-11-11,138810482.350816,108655500.83415599
2005-11-14,138878323.73671398,108729396.5552073
2005-11-15,138870831.23246956,108588270.71149181
