Date,Close,Open,High,Low,Volume
2009-04-22,9.400702,9.120562,9.764465,9.036939,1218300
2009-04-23,9.371437,9.622308,9.622308,9.120565,1635300
2009-04-24,9.453664,9.566555,9.650179,9.257148,1604400
2009-04-27,9.535898,9.388163,9.683633,9.388163,1219200
2009-04-28,9.38398,9.396524,9.494085,9.273876,909300
2009-04-29,9.520563,9.421609,9.691991,9.349134,471300
2009-04-30,9.792338,9.697565,10.006972,9.577703,1069500
2009-05-01,9.731018,9.79513,9.875966,9.58607,2363400
2009-05-04,10.078057,9.97074,10.260636,9.895479,1411200
2009-05-05,10.094781,10.229973,10.229973,9.95959,653100
2009-05-06,10.12684,10.285725,10.285725,9.967955,1029000
2009-05-07,9.928925,10.338681,10.338681,9.519169,1157700
2009-05-08,9.491295,9.753315,9.753315,9.229274,2005200
2009-05-11,9.33102,9.212554,9.560985,9.101054,1275900
2009-05-12,9.24182,9.357499,9.480148,9.003492,3557400
2009-05-13,9.032758,9.101051,9.173525,8.891991,1503300
2009-05-14,9.085718,8.939376,9.23206,8.939376,1688400
2009-05-15,9.119169,9.1122,9.237636,9.000701,1228500
2009-05-18,9.247395,9.120566,9.374225,9.120566,783900
2009-05-19,9.48154,9.324048,9.694781,9.268299,1370700
2009-05-20,9.825789,9.708716,10.012549,9.63903,1757400
2009-05-21,9.48572,9.555407,9.647393,9.324047,1216500
2009-05-22,9.452268,9.510805,9.572129,9.332408,586200
2009-05-26,9.595822,9.363069,9.828574,9.363069,1453500
2009-05-27,9.969344,9.781191,10.157497,9.781191,1137900
2009-05-28,9.938683,10.020912,10.121261,9.756104,672600
2009-05-29,10.086418,10.118475,10.22161,9.951227,758400
2009-06-01,10.546346,10.335893,10.756799,10.335893,1056900
2009-06-02,10.50593,10.673178,10.673178,10.338683,944700
2009-06-03,10.192341,10.277359,10.277359,10.107324,652800
2009-06-04,10.372133,10.285723,10.472482,10.271785,779700
2009-06-05,10.359588,10.531016,10.531016,10.188159,941700
2009-06-08,10.216035,10.229972,10.355408,10.076663,689100
2009-06-09,10.638332,10.444603,10.83206,10.444603,1330500
2009-06-10,10.714988,10.857148,10.868299,10.561678,851700
2009-06-11,10.779103,10.820914,10.910114,10.648092,787500
2009-06-12,10.55471,10.662028,10.687115,10.422306,309900
2009-06-15,10.369341,10.411153,10.508714,10.229967,1163400
2009-06-16,10.362375,10.525442,10.528229,10.196521,942900
2009-06-17,10.266208,10.288507,10.464117,10.068298,1106100
2009-06-18,10.282937,10.347048,10.416735,10.149139,672600
2009-06-19,10.314991,10.31081,10.400009,10.229973,486000
2009-06-22,10.1282,10.228894,10.326793,9.929607,459300
2009-06-23,9.83171,9.951984,9.96597,9.697451,542700
2009-06-24,10.041489,9.90723,10.175748,9.90723,309300
2009-06-25,10.115614,10.007928,10.276446,9.954782,535200
2009-06-26,10.283435,10.245675,10.39392,10.172951,439500
2009-06-29,10.268052,10.290428,10.354761,10.181343,291900
2009-06-30,10.276442,10.245674,10.419093,10.133791,639900
2009-07-01,10.441471,10.3184,10.572933,10.310008,729600
2009-07-02,10.28763,10.301616,10.377137,10.198124,1057800
2009-07-06,10.182738,10.254063,10.340772,10.024703,465900
2009-07-07,10.097424,10.20651,10.312799,9.88205,564300
2009-07-08,9.799541,9.929605,9.943591,9.655492,580800
2009-07-09,9.991139,9.862474,10.128196,9.854082,627300
2009-07-10,10.0303,9.957576,10.156169,9.904432,700200
2009-07-13,10.110018,10.072257,10.3184,9.901636,571200
2009-07-14,10.407906,10.321197,10.497412,10.3184,1497300
2009-07-15,10.882007,10.830262,10.967318,10.796697,688800
2009-07-16,11.031652,10.891798,11.207867,10.855437,631500
2009-07-17,11.168707,11.174301,11.316952,11.020462,773400
2009-07-20,11.354714,11.384083,11.445619,11.263809,1261800
2009-07-21,11.300167,11.445615,11.445615,11.154719,1107600
2009-07-22,11.511349,11.344924,11.69176,11.330938,945300
2009-07-23,11.716932,11.619035,11.909929,11.523934,1533300
2009-07-24,11.612043,11.649804,11.772875,11.451212,893400
2009-07-27,11.695952,11.772871,11.814827,11.577076,650400
2009-07-28,11.76169,11.747705,11.890356,11.633025,432000
2009-07-29,11.730915,11.786857,11.806436,11.655394,393000
2009-07-30,11.942097,11.946292,12.128102,11.756092,526200
2009-07-31,11.837204,11.775668,11.940696,11.733712,480900
2009-08-03,11.946297,11.971472,12.060977,11.831618,1240200
2009-08-04,11.971467,11.912729,12.060973,11.881961,531000
2009-08-05,11.925317,12.038599,12.06657,11.784065,346500
2009-08-06,11.830216,11.893149,12.00783,11.652602,440700
2009-08-07,11.751898,11.881962,11.895947,11.607848,772800
2009-08-10,11.630225,11.63582,11.739311,11.521139,609000
2009-08-11,11.558898,11.593862,11.683368,11.434429,346200
2009-08-12,11.644214,11.493172,11.795256,11.493172,391800
2009-08-13,11.817629,11.823223,11.982656,11.652602,628200
