date,basket_soxl,gld,portfolio
2005-11-29,116402.69848341892,33716.95518647669,107069.7291862395
2005-11-30,117658.09879984062,33243.02139488186,107386.98306714873
2005-12-01,119175.73408270787,33967.46201283308,109067.75547017563
2005-12-02,119181.65786257507,34069.02046290216,109173.03736433055
2005-12-05,118972.19091711467,34380.461546843224,109352.44451286911
2005-12-06,119655.7761353723,34454.93675055784,109857.70218128804
2005-12-07,118810.41941343948,34746.06776939863,109616.06890133722
2005-12-08,117162.9987384956,35138.75656126119,108970.52988112421
2005-12-09,119461.76305939583,35477.280214509425,110757.68290764667
2005-12-12,120232.88991973025,35585.60710650155,111351.95703465308
2005-12-13,120326.13963900422,34969.494734637075,110794.66850996346
2005-12-14,120111.42049706314,34089.33052800244,109779.27395404439
2005-12-15,119759.345021197,34014.85803247705,109482.93359735506
2005-12-16,119038.67976912131,33913.29958240798,108927.227741577
2005-12-19,115117.98090038694,34001.31640929982,106544.44529874255
2005-12-20,115539.08754655358,33202.40058763399,106010.98336316447
2005-12-21,116095.04155507288,33425.82484468321,106584.7438040722
2005-12-22,118478.3605480484,33947.15127068549,108607.96782624873
2005-12-23,118892.54739156709,33933.61032455556,108855.44517528809
2005-12-27,117585.72631043917,34285.67492393372,108383.928781601
2005-12-28,117699.15543878017,34847.62554242041,109017.30795244355
2005-12-29,116283.35885873435,34847.62554242041,108125.08505894576
2005-12-30,114829.38326677064,34922.10142318232,107283.270867231
2006-01-03,121929.15622451615,35964.752244044954,112887.44458955072
2006-01-04,123124.84596174068,36086.62075921432,113781.74107446316
2006-01-05,124209.45324630717,35436.656022025025,113892.05115744736
2006-01-06,124227.51290649346,36370.981982037454,114764.9576302533
2006-01-09,124245.57519249701,36966.78158061242,115325.87243635434
2006-01-10,124263.6401046996,36601.17806624625,115000.73858178867
2006-01-11,124281.70764348308,36919.38894620497,115305.82491897506
2006-01-12,124278.3034482861,36851.684892602636,115241.2010254526
2006-01-13,123828.63410365122,37535.501995116756,115577.33874148224
2006-01-17,122079.41563581221,37413.63280290009,114321.03445520085
2006-01-18,120564.55351600051,36607.94786226391,112587.77923929837
2006-01-19,126513.16226064564,37637.05976813853,117426.61507634333
2006-01-20,123181.86957537179,37373.01199565222,115004.60107727506
2006-01-23,123737.39608242606,37758.9282833079,115723.5837866494
2006-01-24,124961.41547756482,37731.846391048035,116499.13184574714
2006-01-25,125072.50597381398,38009.435109664286,116827.61681160837
2006-01-26,127189.81557311607,37833.40416406981,118050.10093309314
2006-01-27,127693.03123388381,37664.1423374457,118223.2079744382
2006-01-30,127679.82624659722,38375.041332219684,118869.75216830595
2006-01-31,127023.7073931325,38388.582955396916,118453.1314235865
2006-02-01,128026.92194133476,38388.582955396916,119109.23262813519
2006-02-02,126661.50364445159,38578.15552416862,118390.96484602976
2006-02-03,125173.82593342445,38253.17281705032,117118.51401647582
2006-02-06,126903.42267309892,38402.12390152685,118386.94498529221
2006-02-07,127209.36805915565,36966.78158061242,117264.18969195243
2006-02-08,129270.5115860555,37122.50516929584,118755.6935824911
2006-02-09,129240.6075997967,38036.517678971446,119578.51055836095
2006-02-10,128961.73651435786,37095.42259998867,118528.7951322089
2006-02-13,127736.97236093058,36370.981982037454,117060.14023052267
2006-02-14,128957.54733316367,36892.309085087036,118338.86150348902
2006-02-15,129270.82632727691,36398.06184315539,118088.23642652745
2006-02-16,130322.51421676375,36912.61915018732,119250.26654045825
2006-02-17,129380.9284324832,37210.51928799845,118909.02183683761
2006-02-21,127208.50955878742,37318.84685703789,117588.09938122501
2006-02-22,128745.22063508336,37467.79794151442,118730.38333960419
2006-02-23,127072.81110867872,36993.86414991959,117199.84149245624
2006-02-24,127494.77625921191,37670.911456416055,118099.78801015348
2006-02-27,128315.62548731787,37386.55294178215,118374.55139912531
2006-02-28,127136.95948930105,37962.042475256836,118134.08902623988
2006-03-01,136026.1154566014,37982.35254035712,123966.30539904366
2006-03-02,136076.2100934079,38415.66552470408,124398.41806873257
2006-03-03,135890.77801711287,38104.22173257379,123990.11220704122
2006-03-06,135151.78422410478,37393.322737799805,122851.63084310773
2006-03-07,131426.27373361177,37203.750169028106,120240.43683096927
2006-03-08,130681.76952869282,36540.243808661566,119142.02976408944
2006-03-09,127267.04427178265,36723.04725846292,117077.27892772079
2006-03-10,126264.4033565362,36445.45786279937,116165.72035028183
2006-03-13,125006.15984514968,36770.43989287037,115642.34111453476
2006-03-14,133294.7964932193,37149.58503041377,121412.52885833054
2006-03-15,135746.6020936286,37318.84685703789,123172.00245230371
2006-03-16,130524.44207836276,37467.79794151442,119893.99219494459
2006-03-17,130601.44206879623,37318.84685703789,119807.07348876592
2006-03-20,130983.5279551612,37352.698545315405,120088.15570052573
2006-03-21,131018.64070299841,37122.50516929584,119898.96809080857
2006-03-22,131051.94857428742,37068.3400306815,119870.83161172605
2006-03-23,132474.5143186048,37034.48834240399,120769.98956973177
2006-03-24,134184.78932137135,37718.3047678708,122518.72787517682
2006-03-27,134060.6489045351,38178.696936288405,122861.84778767798
2006-03-28,132282.6790944721,37955.27267923918,121493.14476092064
2006-03-29,136599.26092408795,38639.089781753304,124946.4054714396
2006-03-30,137030.41229900197,39674.970806598285,126183.06886309746
2006-03-31,136827.17155638704,39336.44715335005,125738.15875423732
2006-04-03,137535.6685621913,39586.95668789566,126432.39014124806
2006-04-04,137838.7394692395,39492.170742033464,126543.24135445934
2006-04-05,139512.50898435406,39715.594999082685,127843.79750360962
2006-04-06,139760.12571401766,40135.363652063184,128392.60664805362
2006-04-07,139588.03479938803,39668.20168762793,127849.51257875032
2006-04-10,138691.87573384837,40352.018113094746,127893.64588733115
2006-04-11,137381.63795425138,39952.56020226183,126668.60258123657
2006-04-12,139058.36253315982,40236.92142508496,128027.25219461627
2006-04-13,139826.57341658522,40284.314736539716,128573.33998674172
2006-04-17,138463.56286456768,41360.8199538691,128674.06361781177
2006-04-18,143501.72138931236,41875.37455271179,132443.2386205674
2006-04-19,143941.86666031062,43161.76578914969,133916.65976340437
2006-04-20,143962.79535076473,41272.803126977255,132189.43732445233
2006-04-21,143960.43440392538,42789.39044762395,133585.61369430117
2006-04-24,143814.20974357336,41739.96779960173,132522.8117992144
2006-04-25,144039.1623746177,42505.02922480081,133375.02810609443
2006-04-26,143753.2371616149,43094.06241259466,133730.89935031233
2006-04-27,145208.93581320276,42626.89773997018,134252.37536037093
2006-04-28,144115.97330909673,44069.006471665736,134866.65840314765
2006-05-01,142515.67718928272,44116.405199498935,133863.75022756978
2006-05-02,144500.19278579167,45057.50027848172,136028.95527680425
2006-05-03,146387.59317739282,44996.56331270781,137207.15218887804
2006-05-04,147521.8980204726,45687.15427352343,138585.45020880408
2006-05-05,147543.3472361213,46032.445014600096,138917.70555801818
2006-05-08,147557.85826834678,45741.31467280661,138658.8835933073
2006-05-09,147379.56292199984,47176.65631667374,139865.12124740108
2006-05-10,145571.4565305335,47650.58740007935,139119.4070392431
2006-05-11,141739.15424346452,48090.66950339666,137018.67498607264
2006-05-12,140334.80690143525,48151.60646917057,136156.3942339598
2006-05-15,138257.464466971,45639.76163911599,132482.8428148124
2006-05-16,136837.81247780437,46452.21637576982,132303.16824402448
2006-05-17,131234.8794246835,46140.77529182876,128351.82523344191
2006-05-18,125613.33669608488,45673.61061920427,124244.79321125257
2006-05-19,127424.29305330612,44400.76371413284,124256.07279804088
2006-05-22,125222.91849544112,44211.19114536114,122641.66199950824
2006-05-23,124011.06470638706,44942.39817409348,122523.0075366025
2006-05-24,124574.76121583585,43371.64910006898,121444.02733348375
2006-05-25,124825.23627382303,43804.95869917941,122007.18545701125
2006-05-26,125329.60030275043,44075.77829882531,122586.63230832115
2006-05-30,123820.64109747845,44082.550803032194,121606.01634732087
2006-05-31,124949.42677710726,43486.75052740992,121795.13821786726
2006-06-01,126297.57435881466,42356.08017146621,121634.77443060599
2006-06-02,126216.26228168441,42992.50396252558,122168.13866769789
2006-06-05,124751.90865881449,42850.32470520862,121079.41746952638
2006-06-06,124506.61292519042,42349.30834430663,120457.24656884468
2006-06-07,123186.60690869438,42166.50557155258,119425.48901498388
2006-06-08,122822.97705428631,41238.95143869973,118332.82108322703
2006-06-09,122453.47028491403,40927.51035475866,117804.133071854
2006-06-12,120227.52605949555,40643.149131935534,116086.29441732378
2006-06-13,120034.51007764135,37860.484025187754,113395.49645491777
2006-06-14,121279.72259647245,37657.37051028612,114022.67015565271
2006-06-15,124075.34752079294,38808.35160837742,116911.77540640958
2006-06-16,123419.42695306409,39052.088638716144,116707.43752024061
2006-06-19,122876.46774770095,38158.386871188115,115528.68748017849
2006-06-20,122473.11054252974,38794.80998520018,115851.43393586665
2006-06-21,124126.82491533055,39492.170742033464,117575.6644073251
2006-06-22,123116.90096045166,39085.94100404097,116540.7849445985
2006-06-23,122727.04417647766,39261.97465782466,116448.05554897888
2006-06-26,123110.2525375072,39458.316345566716,116879.62623623232
2006-06-27,121494.03976156315,39052.088638716144,115448.23642728387
2006-06-28,121386.06554270316,38957.30269285395,115290.26458293932
2006-06-29,123675.06116710557,40297.855682669644,118022.7484814437
2006-06-30,123669.24931759616,41455.6065767786,119085.95637545797
2006-07-03,124182.63831357617,42098.80151795025,120014.4948981184
2006-07-05,122689.5816060852,42315.45665602911,119237.71163172355
2006-07-06,122653.60689934263,42667.52125540728,119538.65473689878
2006-07-07,121739.83745782055,42403.47348292096,118697.69826445062
2006-07-10,120178.75718602733,41990.47394891081,117296.12398649243
2006-07-11,121746.73989549937,43202.38930458679,119438.5109468757
2006-07-12,120361.40654520069,43953.90978365595,119225.12236808594
2006-07-13,119549.40607842222,44380.45297198526,119087.18660008923
2006-07-14,119233.53006903085,44583.56377869766,119067.79545236522
2006-07-17,119258.18404748714,43297.1759274963,117898.35562431769
2006-07-18,119093.81108353635,42586.276932722314,117135.67564681631
2006-07-19,120526.67368394522,43351.3383579214,118777.86373720624
2006-07-20,119319.06249087122,42342.53922533627,117058.35575460635
2006-07-21,117117.68754848478,41780.588606849604,115100.75285578647
2006-07-24,118692.31917146359,41394.67164214661,115774.89058262465
2006-07-25,119476.29056676067,41672.26103781017,116543.43953595682
2006-07-26,119627.20837559798,41976.93300278088,116922.93203919331
2006-07-27,119809.24961276133,42586.276932722314,117603.57165335471
2006-07-28,120880.31232274573,42728.45619003926,118435.08102964358
2006-07-31,120972.5467081813,42762.30787831678,118526.60068049273
2006-08-01,120492.0979595283,43547.68275385268,118936.20659074903
2006-08-02,120821.31213462306,43838.81309564616,119419.82446074329
2006-08-03,121277.16986454901,43412.27532369531,119324.84826473572
2006-08-04,121144.29924161655,43520.60018454552,119337.78561260036
2006-08-07,121037.12365393584,43669.55126902204,119404.96951156616
2006-08-08,120892.20360509891,43310.716873626225,118979.48224260795
2006-08-09,121056.74384541466,43757.565387724666,119498.91685403528
2006-08-10,121473.7148588904,42823.24213590146,118910.52245640522
2006-08-11,120730.11569158114,42457.635913346065,118087.25864063128
2006-08-14,121201.2221751722,42146.194829404994,118108.33076662582
2006-08-15,122372.41250843208,41983.70212175124,118724.53107451854
2006-08-16,122699.03607989689,42308.68753705876,119237.65627733812
2006-08-17,122732.02861756459,41320.196438432,118348.2180953905
2006-08-18,122752.65463076992,41326.968265591575,118367.94855093051
2006-08-21,122670.99472903028,42274.83314059202,119188.11630414556
2006-08-22,122665.9230739058,42010.7846910584,118941.44655461921
2006-08-23,122592.93279822907,41861.83631477109,118756.43687628365
2006-08-24,122610.75742147402,41807.671176156764,118718.17437011129
2006-08-25,122628.5846363626,41821.21212228669,118742.31298444643
2006-08-28,122646.41444327164,41299.885696284415,118273.50769082626
2006-08-29,122664.246842578,41259.26218084732,118247.7305296936
2006-08-30,122682.0818346586,41584.24421091832,118558.90522333657
2006-08-31,122697.14406446823,42173.27739871216,119111.62192213559
2006-09-01,122645.70524389409,42071.71894864308,118984.38247601161
2006-09-05,122835.35577292484,42897.71801666338,119869.67272699323
2006-09-06,122420.6203896135,42559.19436341515,119286.44535711932
2006-09-07,122372.92472581349,41469.14752290853,118250.64116223252
2006-09-08,122572.05212049422,41056.14798889838,118000.24075062119
2006-09-11,122895.52434652815,39607.26743004325,116876.4708516392
2006-09-12,123243.61839574823,39485.398914873884,116991.8072549899
2006-09-13,123251.46299434218,39688.51242977552,117184.13152264478
2006-09-14,123349.2911833393,38720.33478148557,116355.8171101601
2006-09-15,123353.05881021537,38862.51674699175,116489.31917889875
2006-09-18,123519.1124545515,39424.4646572892,117115.82170478468
2006-09-19,123347.04846615528,38537.53133168422,116185.87467206927
2006-09-20,123568.68319705143,38767.72741589302,116542.97734473489
2006-09-21,123128.57347152934,39234.8920885175,116685.69536865645
2006-09-22,122709.45147149696,39607.26743004325,116754.77939724333
2006-09-25,123759.35672944947,39607.26743004325,117441.41627430919
2006-09-26,123754.12698210821,39769.76013769701,117587.75289956635
2006-09-27,123662.49504589141,40494.20007860092,118195.48559112918
2006-09-28,124028.14999990498,40480.659132470995,118422.14389096413
2006-09-29,123863.97046527508,40264.00399439213,118115.0964886095
2006-10-02,123585.60042648725,40047.34953336057,117733.36924685993
2006-10-03,123372.2483001865,38666.172351060464,116320.91374505204
2006-10-04,124342.58460595887,38165.15599015847,116493.76485313724
2006-10-05,124281.23647238332,38537.53133168422,116796.8325945391
2006-10-06,124029.37827238554,38584.927351328195,116675.79883065665
2006-10-09,124442.97765315352,38727.106608645154,117077.3279170679
2006-10-10,124368.62311150965,38591.69647029855,116903.90314989456
2006-10-11,124690.38366005894,38510.45147056628,117039.45700349135
2006-10-12,124830.03019584248,38923.45100457643,117511.41519080041
2006-10-13,124848.18008594716,39654.660741498,118197.1842690922
2006-10-16,124866.33261498822,40060.88777130127,118583.44382070846
2006-10-17,124868.02496883222,39708.82588011233,118260.08259059532
2006-10-18,123787.76401524157,39668.20168762793,117516.15296763758
2006-10-19,123346.9008672556,40223.380478955034,117739.49401305147
2006-10-20,122960.54559718167,39796.839998814954,117093.70895095733
2006-10-23,123016.1707126487,39106.25106914125,116493.62567930517
2006-10-24,122697.21671868091,39383.8404648048,116540.86264835567
2006-10-25,123549.15571633767,39783.29837563772,117466.17905813182
2006-10-26,123915.42211851547,40142.135479222765,118036.42909320028
2006-10-27,123376.33129394258,40216.61135998468,117752.50290974474
2006-10-30,123649.76218823885,40555.13501323292,118243.31730014476
2006-10-31,123818.26493587586,40785.33109744171,118565.67171454511
2006-11-01,123381.8149181571,41543.62340367045,118979.09285112485
2006-11-02,123231.46283601785,41922.76786416655,119230.19067843934
2006-11-03,123415.65350202622,42180.04651768252,119587.76486912368
2006-11-06,124000.18636829277,41902.45712201896,119714.21618871507
2006-11-07,124141.51967459139,42004.01557208804,119900.24652904189
2006-11-08,124150.48194840575,41374.36157704633,119325.80479441001
2006-11-09,123934.89417323048,42620.12862099983,120332.93709603432
2006-11-10,124114.23239446638,42308.68753705876,120163.19310126653
2006-11-13,124438.71598904094,42105.5713139679,120188.20860832254
2006-11-14,124717.68082124137,41726.426176424495,120021.22275326669
2006-11-15,124760.33983191213,41868.605433741446,120180.1572480498
2006-11-16,124784.8316272522,41509.77103834562,119865.46513774287
2006-11-17,124797.1207502143,41827.98191830435,120166.7723973754
2006-11-20,125012.7630208007,41821.21212228669,120301.56300996881
2006-11-21,125019.60094176815,42159.73577553493,120618.02589077532
2006-11-22,125455.06372179465,42315.45665602911,121046.33387561567
2006-11-24,125473.30448978975,42992.50396252558,121682.24509382132
2006-11-27,125474.91310604193,43127.91410087218,121808.09410627597
2006-11-28,125545.77153512731,43039.89727398033,121773.31718562148
2006-11-29,125530.5389170163,42762.30787831678,121507.52254202185
2006-11-30,125917.64130782965,43595.07538826013,122528.18403796066
2006-12-01,125396.8053175703,43412.27532369531,122019.08529296888
2006-12-04,127145.13604683553,43412.27532369531,123162.49165552208
2006-12-05,127163.62254598139,43202.38930458679,122981.14620694928
2006-12-06,127182.11173300553,42444.09496721614,122294.37727758972
2006-12-07,127177.5423724307,42471.1775365233,122316.34881585595
2006-12-08,126880.44914881291,42010.7846910584,121697.74194457696
2006-12-11,126639.44500340379,42362.84996748387,121864.59664769447
2006-12-12,125890.34688314513,42328.99760215904,121343.48821705572
2006-12-13,124504.42624663576,42301.91570989918,120412.13838314271
2006-12-14,128091.47416149262,42058.17800251315,122533.42968729677
2006-12-15,128076.7685641711,41299.885696284415,121824.95327764782
2006-12-18,127678.048348319,41326.968265591575,121589.15059265867
2006-12-19,125857.66242692812,41841.52286443428,120872.84511606522
2006-12-20,126832.94637950999,41719.654349264914,121398.36302227972
2006-12-21,124102.57581661518,41557.164349800376,119462.94931677532
2006-12-22,122582.68195862096,41739.96779960173,118637.41611882033
2006-12-26,124881.91211652897,41963.39205665095,120347.02283633596
2006-12-27,125280.89536840044,42125.884087257415,120757.71369186757
2006-12-28,125311.47278576047,42586.276932722314,121202.01952073212
2006-12-29,125066.5691609876,42796.1595665943,121235.28529974815
2007-01-03,124899.53992464568,42166.50557155258,120586.8311597114
2007-01-04,126353.91716549904,41739.96779960173,121211.21208738572
2007-01-05,125850.62083352549,40737.93507779774,120018.11340966143
2007-01-08,126023.23563928304,40947.82109690625,120313.61521603077
2007-01-09,126169.36340119017,41198.32724621533,120625.66534710859
2007-01-10,126749.29486965283,41022.29630062087,120869.58045104891
2007-01-11,126802.95696314277,41049.37886992803,120929.00949091697
2007-01-12,126846.65089818687,42092.02969079067,121844.76164588888
2007-01-16,126806.30474283971,41956.622260633296,121702.30765396122
2007-01-17,126664.5585732547,42410.24260189131,121991.63700981505
2007-01-18,125348.39835328651,42152.96394837535,120879.89840930492
2007-01-19,125798.49219917359,42653.98030927734,121611.10430064495
2007-01-22,125345.71608461022,42464.407740505645,121142.76080632143
2007-01-23,125310.60850378567,43486.75052740992,121987.78279125213
2007-01-24,126073.04554236504,43554.45458101225,122562.67791013233
2007-01-25,125926.76175234967,43371.64910006898,122308.05774436498
2007-01-26,126548.64942579166,43446.1243037836,122793.3367204069
2007-01-29,126425.99684570884,43175.30673527963,122479.95403276017
2007-01-30,126677.10708784235,43479.978700250336,122909.27383925984
2007-01-31,126738.52800922617,43892.97823426049,123301.94164175898
2007-02-01,127113.35874656017,44157.026006746804,123780.68803540256
2007-02-02,127228.64955033915,43520.60018454552,123318.04883759892
2007-02-05,127298.04777239847,43540.9109266931,123382.40064561184
2007-02-06,127242.54500395466,43865.89566495333,123620.92922172465
2007-02-07,128245.57796295678,43757.565387724666,124209.47831728664
2007-02-08,128198.5148336934,44360.137490506524,124689.6430321713
2007-02-09,127104.06805517702,44766.369936688236,124292.23855328257
2007-02-12,125612.74640749536,44461.6952635283,123021.3632690538
2007-02-13,126597.94537067649,44576.791951538085,123787.69180841831
2007-02-14,129918.39287093356,44935.631763312354,126345.76441996067
2007-02-15,130176.55124035246,44962.71433261952,126543.95568193904
2007-02-16,130169.67294845985,44928.859936152774,126510.5170021861
2007-02-20,130183.93572980343,44217.958233189565,125916.03081426414
2007-02-21,130168.8833845371,45599.13473844236,127079.61849846624
2007-02-22,130983.11329944788,45463.72798533229,127517.04299869348
2007-02-23,131000.6192964952,45849.64427298797,127856.89518828875
2007-02-26,131018.12763323293,46106.920218314706,128087.42316083517
2007-02-27,131014.14129566099,44285.667026123054,126536.91471729944
2007-02-28,131147.20477624156,45010.106967026964,127242.87561487174
2007-03-01,130772.52940620299,44563.253713597376,126608.87625801793
2007-03-02,128503.07290774204,43134.68321984253,123854.84278521538
2007-03-05,126697.07200708521,42606.5869978226,122180.56372369046
2007-03-06,131949.0799379819,43432.586065842894,126446.32693417123
2007-03-07,131806.87812508002,43534.14383886467,126436.14452072515
2007-03-08,132343.6262743214,43656.012354034036,126903.92904623269
2007-03-09,132571.3933595795,43500.28944239793,126926.13972433956
2007-03-12,132728.52966788007,43581.53715031942,127101.81442134178
2007-03-13,132406.41324266797,43141.45504700211,126509.23376850362
2007-03-14,132606.08254794756,43290.40410033672,126771.30591014875
2007-03-15,132608.9615807643,43317.48666964388,126796.27578780195
2007-03-16,132438.29344351418,43750.79897694354,127048.721051814
2007-03-19,132222.68528880842,43832.04126848658,126971.46306798
2007-03-20,132819.75472255945,44190.875663882405,127681.5659218152
2007-03-21,133795.95122041216,44563.253713597376,128660.43796695647
2007-03-22,133703.13917448578,44522.6322293022,128562.93735082181
2007-03-23,133855.44748970694,44109.63337233936,128315.29742881694
2007-03-26,133857.31970121514,44576.791951538085,128713.58548868197
2007-03-27,133787.94818325568,44482.00600567588,128585.95858023816
2007-03-28,133350.43108461142,44718.97662523349,128490.4695997312
2007-03-29,132888.25081641876,44448.15702558759,127946.69655777022
2007-03-30,133104.61803444286,44509.08857498305,128145.29694238899
2007-04-02,133042.25034737046,44583.56377869766,128166.27018041912
2007-04-03,133452.071671059,44570.02554075695,128432.85143619796
2007-04-04,133911.8577011755,45233.529192934264,129308.72486680583
2007-04-05,134213.25075976588,45267.38358940101,129542.0083764249
2007-04-09,134167.7617506552,45043.956624162565,129321.26071310297
2007-04-10,134653.1963822694,45470.49981249187,130013.15582029728
2007-04-11,134222.30257100487,45416.334673877536,129674.73755605816
2007-04-12,135132.64116418065,45355.39770810363,130240.66581623151
2007-04-13,135079.21898586408,45930.886564531014,130693.49869137116
2007-04-16,135433.74615021923,46310.03711845288,131256.2887923944
2007-04-17,135436.54482522001,46039.21684175968,131028.02953391531
2007-04-18,135765.68362151002,46296.49278708641,131470.0162963506
2007-04-19,135783.82881287657,45721.00393065903,130993.24600192886
2007-04-20,135801.97642936234,46513.14792516528,131678.7687400762
2007-04-23,135795.77439917496,46215.25049554337,131421.39030815958
2007-04-24,137389.06841519318,45856.416100147544,132197.57221984607
2007-04-25,137407.4305732258,45964.74096099776,132302.09254143038
2007-04-26,137419.3107594436,45274.155416560585,131723.25544394576
2007-04-27,137157.36814957985,45741.31467280661,131942.53088850915
2007-04-30,135990.72179797577,45423.101084658665,130880.45991714328
2007-05-01,136353.0061465631,45152.28622434392,130896.13650533302
2007-05-02,137406.66230495498,45131.97615924364,131593.8408195643
2007-05-03,137765.24479693553,45693.921361351866,132314.73187078367
2007-05-04,138271.62645350074,46167.85718408862,133061.11764093145
2007-05-07,138226.29054951304,46208.47866838379,133064.87710494502
2007-05-08,138067.53241551603,45957.96913383818,132744.2536792297
2007-05-09,139422.99226448525,45666.8387920447,133416.59045120043
2007-05-10,139291.1596166105,44685.12222876674,132492.81658586586
2007-05-11,140266.69974764978,44989.79148554823,133413.7005053461
2007-05-14,140279.29169564537,44874.69479753845,133324.42920532433
2007-05-15,140215.24603650376,45050.728451322146,133430.57393300784
2007-05-16,140239.48698804306,44414.30195207355,132906.15171530368
2007-05-17,139944.26701594892,44048.69640656545,132395.1161897524
2007-05-18,140150.6655000556,44360.137490506524,132799.8493326396
2007-05-21,140267.68927975156,44461.6952635283,132965.56606011104
2007-05-22,140760.09321557567,44143.48235242765,133029.2545730984
2007-05-23,139380.4407324471,44373.68114482568,132288.71867770088
2007-05-24,136637.05886393768,43838.81309564616,129972.61884031238
2007-05-25,137741.92189826065,43967.453437975106,130831.65634057073
2007-05-29,138943.97392423812,44055.46823372503,131722.11616015603
2007-05-30,138142.03690788284,43818.502353498574,130976.56985647591
2007-05-31,140922.85510346713,44373.68114482568,133335.33355890255
2007-06-01,141834.76341106452,44983.024397719804,134471.96882151903
2007-06-04,141727.01231426044,45050.728451322146,134456.39235957805
2007-06-05,141478.66372689474,44935.631763312354,134190.05823354196
2007-06-06,139977.9408939288,44962.71433261952,133194.7496972369
2007-06-07,136702.10285581637,44184.10857605397,130310.20638374877
2007-06-08,143119.95864103906,43479.978700250336,134066.67320502514
2007-06-11,142502.5367020161,43804.95869917941,133923.90399925085
2007-06-12,140732.68288332457,43398.73099232884,132377.7234901249
2007-06-13,145246.32540040638,43689.86201116964,135687.90327045857
