date,basket,trend,portfolio
2007-06-13,124496.85034320527,63711.09557483784,187145.86928242547
2007-06-14,126031.49666269061,65007.96374828731,190026.57680691386
2007-06-15,127048.04410499585,66748.48098290627,192923.56021274318
2007-06-18,127065.02417692226,66719.90899002735,192907.28625703577
2007-06-19,127060.66805051189,65827.71401432756,191902.40493768433
2007-06-20,126677.26025452568,65126.65074558658,190759.7306581926
2007-06-21,129970.52053393397,68197.94211902648,197264.9513785641
2007-06-22,129966.76882232848,66854.75275247148,195754.72157621811
2007-06-25,129256.71440413503,65914.06461920391,194039.7387932613
2007-06-26,128665.56856673055,65535.462451111045,193065.76938627055
2007-06-27,132333.87678163583,67137.51374273535,198271.3247263073
2007-06-28,131965.30006464224,66428.88417510135,197133.94321122693
2007-06-29,131500.5290492311,65957.75432255442,196173.60128309514
2007-07-02,133203.71439516978,66919.70309768498,198835.20665988568
2007-07-03,133515.65060317365,67128.31092689428,199359.0530509847
2007-07-05,133753.93159387764,67610.215084505,200121.03675794633
2007-07-06,133861.4180773925,68258.76972590097,200948.43483135494
2007-07-09,133879.30876215777,68836.21623417668,201612.8177983115
2007-07-10,133873.24597750415,68202.54558203582,200896.35446955948
2007-07-11,133832.21399171336,68138.22607558248,200786.07794955815
2007-07-12,135507.2218839476,70237.10328254345,204696.86950686766
2007-07-13,135525.33253169782,70083.71067588832,204541.6265377752
2007-07-16,135543.44559995047,70552.32304200824,205084.12971631825
2007-07-17,135561.56108902907,71888.25877930371,206599.56882936382
2007-07-18,135556.3118958556,70319.83614420201,204835.28865863523
2007-07-19,135996.0356439018,70913.04234234962,205909.29884683975
2007-07-20,135301.23398607166,69863.90927227831,204086.83843110994
2007-07-23,135295.74509436166,69857.38763346788,204074.42264550383
2007-07-24,133092.3083746591,68156.79165794756,200119.4167594089
2007-07-25,133485.80192102678,68347.9842644473,200699.50680468362
2007-07-26,130886.85057240544,66978.55714122289,196748.50018680838
2007-07-27,127554.57435384323,65770.16808969341,192296.76768092267
2007-07-30,132188.67018306506,67058.60477986683,198047.88783152285
2007-07-31,129321.37938362441,65859.93908542703,194039.1064470669
2007-08-01,130601.09374423907,66257.536441177,195674.17128431232
2007-08-02,130699.81967720008,66296.15977958207,195809.22937446937
2007-08-03,124945.88025011969,64131.317336504784,188034.4783172243
2007-08-06,128082.50939081275,64996.07526793852,191918.95061665424
2007-08-07,127919.352163528,65004.762044982264,191777.09669945145
2007-08-08,132871.2810420604,65013.449983020655,196387.9548303509
2007-08-09,131765.28853795043,65022.139082208865,195370.06286908992
2007-08-10,130531.20980541207,65030.829342702076,194233.1601779695
2007-08-13,129575.7616810697,65012.93377487196,193325.3255957322
2007-08-14,126114.12814846606,64126.38669994827,189114.43133959317
2007-08-15,117116.14539297431,62267.843069039314,178669.05488324535
2007-08-16,116767.63544561813,62224.02055147906,178296.07632353748
2007-08-17,118284.24377915109,63304.67233808621,180917.47960727866
2007-08-20,119070.40590628724,64075.19515144665,182512.29265768483
2007-08-21,119557.77770807747,64602.63159153338,183556.79703592297
2007-08-22,119961.0371411162,65085.06936411867,184472.66997251596
2007-08-23,119492.2713733024,64446.034278872045,183320.26595221963
2007-08-24,120460.81175084453,65432.201051506505,185326.4387857865
2007-08-27,120011.64696457557,64808.97493779485,184209.98109008424
2007-08-28,118280.97854763146,63014.83179830953,180589.31249764102
2007-08-29,120521.13637754592,64865.68177960118,184746.9878110517
2007-08-30,120595.82521663737,64945.74299613049,184906.19529557522
2007-08-31,121589.71261575958,66253.06479654022,187296.18017832274
2007-09-04,122017.12574739821,67530.52318344727,189126.32258464373
2007-09-05,121965.18850490077,66758.5626772171,188212.10592068345
2007-09-06,122171.37528992468,67413.89692363044,189138.8170579567
2007-09-07,121654.81694747081,65436.7363044832,186440.94285635196
2007-09-10,121736.81206433535,65582.63055315037,186680.788252756
2007-09-11,122144.71861311959,66487.71125140839,188075.085457515
2007-09-12,121698.75467149113,65338.311250436076,186371.35797901248
2007-09-13,121556.48328862445,65085.75977521395,185955.86212649543
2007-09-14,121293.230518493,64653.55755212833,185226.4296813511
2007-09-17,121081.20702706552,64448.264471952636,184799.1361194256
2007-09-18,123235.35500659386,66476.13184100452,189075.46695080755
2007-09-19,123349.84275049412,66814.13915215136,189561.00891357788
2007-09-20,123373.25467867882,66875.57892542868,189651.6832727563
2007-09-21,123430.66393518288,67217.11945279388,190088.15388211742
2007-09-24,123411.21228414489,66996.76507714766,189822.89427230935
2007-09-25,123632.56570889722,67440.24555856762,190526.04727167057
2007-09-26,123526.86361266451,67162.67770399712,190116.46745701652
2007-09-27,123661.32512774244,67450.44265277697,190564.2079973018
2007-09-28,123501.03966498138,67058.09016761907,189975.15027199837
2007-10-01,125352.93527420625,68650.28767748606,193481.92208696983
2007-10-02,125369.6887934921,68808.12345506517,193674.54348818783
2007-10-03,125364.83802150509,67061.83275226876,191711.10719955264
2007-10-04,125277.45861635945,66932.55672643734,191484.90071554185
2007-10-05,126227.69778618141,68203.62095899759,193793.65710373822
2007-10-08,126244.56821817125,68324.85819325427,193945.33214124557
2007-10-09,126238.84984058821,67750.34609205555,193295.55085877387
2007-10-10,126112.71298111972,67573.0485964386,192979.46382829448
2007-10-11,124830.56310397794,65917.5086732503,189931.01908150248
2007-10-12,126193.71225310468,66804.2054191481,192192.26278016402
2007-10-15,126207.20900508581,66809.79238231409,192211.07062658295
2007-10-16,126151.49670950632,66692.90343599259,192028.18321581936
2007-10-17,126716.90499981772,68086.37504651347,194116.68425768084
2007-10-18,126744.10198327358,68126.48386470127,194186.94718639558
2007-10-19,125995.06015786351,65816.76134096128,190900.00309462805
2007-10-22,126683.67486293669,66450.06622239797,192250.25303292152
2007-10-23,126855.79963398504,66620.8511550947,192601.76441731534
2007-10-24,124857.47663000837,64348.279215674906,188195.71801461713
2007-10-25,121102.68279950714,62126.57190573622,182214.69516127324
2007-10-26,121598.63339615354,62317.15134564176,182889.29591618208
2007-10-29,121963.9387722112,62325.48008237716,183238.06433298998
2007-10-30,122105.46594726465,62333.80993225484,183378.9092365976
2007-10-31,122307.39818087792,62342.14089542356,183575.881085668
2007-11-01,122011.74959692894,62350.47297203212,183310.52419564372
2007-11-02,122244.33173687672,62358.80616222933,183535.9770741061
2007-11-05,122116.08786414695,62367.140466164026,183426.1677024769
2007-11-06,122644.79281657262,62375.47588398506,183926.7672403998
2007-11-07,122106.61050789393,62383.812415841305,183436.06378689874
2007-11-08,121663.85924473534,62392.15006188164,183034.03187073767
2007-11-09,121350.63089311407,62400.48882225499,182752.34813928185
2007-11-12,120245.72380108247,62408.828697110286,181735.07294679002
2007-11-13,121310.46985952537,62417.16968659647,182733.74431416747
2007-11-14,121034.25409774277,62425.51179086252,182486.45478778108
2007-11-15,120791.2293770752,62433.85501005742,182270.00615280654
2007-11-16,120471.10474125837,62442.19934433019,181981.92095308844
2007-11-19,119492.010248934,62450.54479382986,181081.55149182357
2007-11-20,118789.9493201939,62458.89135870548,180438.59056040284
2007-11-21,117552.55596292762,62467.23903910612,179298.22377262672
2007-11-23,118527.08273700318,62475.58783518087,180213.07614658587
2007-11-26,116946.44321920934,62483.937747078846,178753.78278012614
2007-11-27,118328.22521117459,62492.28877494917,180047.04111171025
2007-11-28,120642.12293075175,62500.640918941,182206.38121542335
2007-11-29,120625.79636686071,62508.994179203495,182200.5816992299
2007-11-30,120114.90036875283,62517.34855588586,181735.25149089316
2007-12-03,120087.18255201023,62525.7040491373,181718.87023355515
2007-12-04,119778.22531267218,62534.06065910704,181441.1750529335
2007-12-05,121109.51411722775,62542.41838594434,182687.52487286588
2007-12-06,121670.10648744891,62550.777229798456,183217.77906116564
2007-12-07,121640.13639758625,62559.13719081869,183199.31010350335
2007-12-10,121916.47612095761,62567.498269154356,183465.45186828874
2007-12-11,121449.43813744815,62575.86046495477,183040.88134972
2007-12-12,121819.15801319316,62584.22377836929,183393.79031043645
2007-12-13,121582.63820953306,62592.58820954729,183183.40955020813
2007-12-14,121253.53968544432,62600.953758638156,182887.0100102757
2007-12-17,120431.33500656103,62609.320425791295,182132.43939426792
2007-12-18,120633.96115637184,62617.688211156135,182330.0973053181
2007-12-19,120736.56830067921,62626.05711488213,182434.82325484825
2007-12-20,121209.88015123714,62634.42713711876,182883.99280168622
2007-12-21,121567.41329415317,62642.79827801549,183225.5871723175
2007-12-24,121839.78234494972,62651.17053772185,183488.05210744287
2007-12-26,121888.51338784861,62659.543916387374,183542.72379709885
2007-12-27,121549.55205340806,62667.9184141616,183237.17021031998
2007-12-28,121488.23537704795,62676.29403119409,183189.5929595952
2007-12-31,121306.75913956384,62684.67076763445,183030.37003908874
2008-01-02,120514.36931165779,62687.09855488323,182315.8601869415
2008-01-03,120106.0925773644,62689.526436160595,181949.08553617622
2008-01-04,118156.94754708454,62691.954411470186,180187.37292387144
2008-01-07,117172.73590150052,62694.38248081564,179299.20835417323
2008-01-08,116126.92770569742,62696.81064420061,178355.28093702655
2008-01-09,116432.62089229688,62699.238901628734,178634.85906280603
2008-01-10,116611.08222992554,62701.66725310365,178799.25513102053
2008-01-11,115374.00292545579,62704.09569862901,177682.17154966888
2008-01-14,116653.90421955945,62706.52423820845,178843.69428414817
2008-01-15,115352.39208682589,62708.952871845606,177668.28030110672
2008-01-16,114895.03154171303,62711.38159954413,177257.07138342923
2008-01-17,114154.346809909,62713.81042130767,176589.3710275806
2008-01-18,115289.00757315746,62716.239337139865,177619.408891224
2008-01-22,114611.1375418651,62718.66834704435,177008.57449595135
2008-01-23,115537.93871140326,62721.097451024776,177850.43863772665
2008-01-24,116459.45419080147,62723.526649084786,178687.51778839086
2008-01-25,116009.28104084838,62725.95594122802,178282.8162321599
2008-01-28,116349.7225305462,62728.38532745813,178593.8530896678
2008-01-29,116395.57874794444,62730.81480777875,178638.20392129378
2008-01-30,116382.76835822995,62733.24438219352,178629.44436402014
2008-01-31,116323.2107362616,62735.674050706104,178578.36495057907
2008-02-01,117478.40010908055,62738.10381332013,179626.98822027244
2008-02-04,117209.07960514625,62740.53367003925,179386.0120505219
2008-02-05,116397.74364752366,62742.96362086711,178654.35291700074
2008-02-06,115884.08381523791,62745.39366580734,178192.17815837334
2008-02-07,116102.71697964639,62747.823804863605,178392.9436085348
2008-02-08,116354.93663132416,62750.25403803954,178624.11479764205
2008-02-11,116819.1886994437,62752.684365338784,179047.2376676405
2008-02-12,116749.46133344506,62755.114786765,178986.9525302696
2008-02-13,117309.490679154,62757.54530232182,179496.78216815097
2008-02-14,116919.83999401539,62759.975912012895,179146.87274547445
2008-02-15,116652.62900165051,62762.406615841865,178907.8072922378
2008-02-19,116521.1742218029,62764.83741381238,178791.64116737287
2008-02-20,116962.75018900269,62767.26830592809,179194.23617000255
2008-02-21,116908.50698079694,62769.699292192636,179147.96939992113
2008-02-22,116982.7143552827,62772.13037260967,179217.98821894117
2008-02-25,117169.54191670545,62774.56154718283,179389.96147249627
2008-02-26,117394.92571182929,62776.992815915764,179596.8395442454
2008-02-27,117482.45044806019,62779.42417881213,179678.91481437156
2008-02-28,117344.00411074962,62781.85563587556,179556.42004767913
2008-02-29,117051.75755254187,62784.28718710971,179294.69104883433
2008-03-03,116973.5278055826,62786.71883251823,179226.7101906844
2008-03-04,117050.87038027329,62789.15057210476,179299.56805598177
2008-03-05,117178.53807940222,62791.58240587295,179417.98503992776
2008-03-06,116849.49090552135,62794.014333826446,179122.94112245954
2008-03-07,116868.25952924782,62796.446355968896,179142.77269998
2008-03-10,116870.89122426332,62798.87847230395,179147.9957306448
2008-03-11,117065.24435353956,62801.31068283526,179326.78304189304
2008-03-12,117067.8962708883,62803.74298756647,179332.02459974092
2008-03-13,117168.18635893031,62806.17538650122,179425.6574700756
2008-03-14,117023.45336918924,62808.607879643176,179297.47264780605
2008-03-17,116988.6751414506,62811.040466995975,179268.82926823525
2008-03-18,117390.45453720026,62813.473148563266,179635.39878290528
2008-03-19,117393.29170118758,62815.9059243487,179640.8085934979
2008-03-20,117494.46655435227,62818.33879435593,179735.24298614386
2008-03-24,117646.29866595299,62820.7717585886,179875.5371762429
2008-03-25,117650.85512577434,62823.20481705036,179882.50378434942
2008-03-26,117653.79456589452,62825.637969744865,179888.00662507003
2008-03-27,117536.01825200065,62828.07121667576,179784.22638693568
2008-03-28,117411.50669982127,62830.50455784669,179674.34889134608
2008-03-31,117555.73263791495,62832.93799326131,179807.7578122311
2008-04-01,118060.35753980788,62835.37152292327,180267.4336868883
2008-04-02,118085.95356634457,62837.80514683622,180293.44793865472
2008-04-03,118128.21301201048,62840.23886500381,180334.54758573236
2008-04-04,118132.78813645095,62842.67267742969,180341.5319713849
2008-04-07,118135.72197791174,62845.106584117515,180347.030624297
2008-04-08,118038.27118184838,62847.54058507093,180261.6518262404
2008-04-09,118133.23556744748,62849.97468029359,180350.4653538744
2008-04-10,118329.96762014637,62852.40886978915,180531.40860038123
2008-04-11,118204.35374720216,62854.84315356125,180420.53428185976
2008-04-14,118072.29344024844,62857.277531613545,180303.82415856718
2008-04-15,118106.01645006402,62859.71200394969,180337.1967064792
2008-04-16,118529.93309114096,62862.146570573335,180723.80912735907
2008-04-17,118491.21844166439,62864.58123148813,180691.60455253103
2008-04-18,118719.83818785209,62867.015986697734,180901.41618179122
2008-04-21,118740.87194873262,62869.45083620579,180923.30167548434
2008-04-22,118706.82637110658,62871.88578001595,180895.32431151596
2008-04-23,118892.45757896623,62874.32081813188,181066.21902635152
2008-04-24,118909.70016598146,62876.75595055721,181084.67272537242
2008-04-25,118914.30555754344,62879.191177295615,181091.6861634907
2008-04-28,118917.11019329603,62881.626498350735,181097.0694992144
2008-04-29,118946.44402899903,62884.061913726226,181126.4696576954
2008-04-30,118859.24303002676,62886.49742342574,181050.37169657584
2008-05-01,119230.87440483202,62888.933027452935,181389.6518167499
2008-05-02,119235.49223552326,62891.36872581146,181396.67706675676
2008-05-05,119238.33134828942,62893.80451850496,181402.09216514416
2008-05-06,119329.55155748354,62896.24040553711,181487.5182069026
2008-05-07,119273.26598675502,62898.676386911546,181439.40833328565
2008-05-08,119318.52832752356,62901.11246263193,181483.22923530545
2008-05-09,119321.41280591713,62903.54863270191,181488.68584365534
2008-05-12,119434.40892539469,62905.98489712514,181593.825916485
2008-05-13,119454.66368897843,62908.42125590528,181615.00795172373
2008-05-14,119459.29018706417,62910.85770904599,181622.04192980946
2008-05-15,119463.9168643349,62913.29425655091,181629.0761803223
2008-05-16,119468.54372079758,62915.7308984237,181636.11070327277
2008-05-19,119463.34828786642,62918.167634668025,181634.2532815816
2008-05-20,118760.0759804646,62920.60446528753,181000.43150470688
2008-05-21,117909.02274935227,62923.04139028586,180232.8247266134
2008-05-22,118093.73379262975,62925.47840966669,180402.88873642794
2008-05-23,117873.300129625,62927.91552343367,180206.17798241938
2008-05-27,118521.86335622825,62930.35273159045,180796.1645848538
2008-05-28,118601.98509531881,62932.79003414069,180871.54490687823
2008-05-29,118543.34488969199,62935.227431088046,180821.3050508735
2008-05-30,118806.86525531592,62937.66492243617,181062.7151801327
2008-06-02,118732.1797249708,62940.10250818872,180997.9498162747
2008-06-03,118430.46626873106,62942.540188349354,180727.6576543011
2008-06-04,118860.60705683223,62944.97796292173,181119.9085018029
2008-06-05,118865.21054701031,62947.4158319095,181126.92330460838
2008-06-06,118869.81421548229,62949.853795316325,181133.93837909825
2008-06-09,118874.41806225508,62952.291853145856,181140.9537252831
2008-06-10,118879.02208733559,62954.730005401754,181147.96934317338
2008-06-11,118883.62629073071,62957.16825208768,181154.9852327797
2008-06-12,118888.23067244736,62959.60659320728,181162.00139411248
2008-06-13,118892.83523249245,62962.04502876422,181169.01782718237
2008-06-16,118897.43997087289,62964.483558762164,181176.03453199976
2008-06-17,118902.04488759558,62966.922183204755,181183.0515085753
2008-06-18,118906.64998266741,62969.36090209566,181190.06875691944
2008-06-19,118911.25525609532,62971.79971543853,181197.08627704275
2008-06-20,118913.81957736128,62974.23862323703,181202.25624673412
2008-06-23,118837.71875079593,62976.67762549482,181136.2112787882
2008-06-24,118900.59741848048,62979.11672221556,181195.98365562962
2008-06-25,119088.96819812614,62981.555913402895,181369.36333758134
2008-06-26,118897.22738179975,62983.9951990605,181198.63056815983
2008-06-27,118840.66334825488,62986.43457919201,181150.2725735178
2008-06-30,118700.72455290961,62988.87405380111,181026.4360582891
2008-07-01,118637.91755735727,62991.31362289145,180972.4265713386
2008-07-02,118188.59658694029,62993.75328646669,180568.5086009585
2008-07-03,117539.6344195367,62996.19304453048,179983.85686055495
2008-07-07,117697.94540022446,62998.63289708649,180130.0243739761
2008-07-08,117837.67838803379,63001.072844138376,180259.37346134236
2008-07-09,116963.26436857076,63003.5128856898,179470.621953075
2008-07-10,117317.75425239345,63005.95302174442,179794.38928582633
2008-07-11,117241.91322927506,63008.3932523059,179728.58095084457
2008-07-14,116973.07571959894,63010.83357737789,179488.05425910605
2008-07-15,117236.13741101361,63013.27399696406,179729.05257359578
2008-07-16,118029.07776392107,63015.71451106807,180449.74671292893
2008-07-17,118346.46345833734,63018.15511969358,180739.92441567476
2008-07-18,118298.29438925152,63020.595822844254,180699.16787310335
2008-07-21,118209.7289572466,63023.036620523744,180621.84087567296
2008-07-22,117724.17236750352,63025.47751273571,180185.12046918803
2008-07-23,117910.68095178527,63027.91849948383,180356.81641487195
2008-07-24,117056.68412620944,63030.35958077174,179586.54967411942
2008-07-25,117255.71186646532,63032.80075660312,179769.57935132226
2008-07-28,116959.44781593049,63035.242026981636,179504.22469414942
2008-07-29,117541.5933241697,63037.683391910934,180034.08862193517
2008-07-30,117678.11058537044,63040.124851394685,180160.52829930076
2008-07-31,117641.61010390728,63042.56640543655,180130.33624719235
2008-08-01,117543.96633884755,63045.00805404019,180044.791687578
2008-08-04,117578.50767912348,63047.449797209265,180078.91355666792
2008-08-05,117935.28679723408,63049.891634947446,180404.75530583784
2008-08-06,118053.3341489423,63052.333567258385,180514.47484620614
2008-08-07,118139.80792600545,63054.77559414575,180595.61114475422
2008-08-08,118307.14884680635,63057.21771561321,180749.95605433465
2008-08-11,118423.24166963533,63059.65993166442,180857.9065037819
2008-08-12,118421.4987487936,63062.102242303044,180859.1811294628
2008-08-13,118441.59845831024,63064.54464753275,180880.22985717148
2008-08-14,118475.4355668912,63066.98714735719,180913.71507360757
2008-08-15,118489.31504766339,63069.42974178004,180929.132889557
2008-08-18,118468.44197922132,63071.872430804964,180913.08955866352
2008-08-19,118329.34809963481,63074.31521443562,180790.0218049394
2008-08-20,118298.2194293693,63076.75809267567,180764.694365245
2008-08-21,118229.77919036095,63079.20106552878,180705.58911494398
2008-08-22,118465.62143106133,63081.64413299862,180921.94892987725
2008-08-25,118194.76847767521,63084.08729508885,180679.6009835009
2008-08-26,117990.8412660269,63086.53055180314,180497.840587428
2008-08-27,118297.0536314673,63088.973903145146,180777.90635128104
2008-08-28,118564.87913120919,63091.417349118536,181023.2208451913
