date,basket_soxl,gld,tlt,portfolio
2015-07-10,244977.4033363362,50322.66856479758,40179.36956451274,258646.7530077504
2015-07-13,246217.78557243763,50096.98612929876,40054.72225321349,259072.9625693831
2015-07-14,247857.47995604968,49984.144911549345,40186.29562530957,260182.3055955283
2015-07-15,247029.45934997176,49722.35599455994,40612.153655429036,259893.26139914343
2015-07-16,247315.94867702143,49541.80914343114,40892.598030469446,260234.85071019095
2015-07-17,246971.3163847962,49040.79413662376,41103.79884514096,259757.9677259392
2015-07-20,246138.76199182993,47709.26551035635,40930.68142041902,257657.9567610504
2015-07-21,246259.51082152993,47560.31781111636,41152.261381852804,257852.87461097713
2015-07-22,243252.71523878252,47303.0398346477,41408.46028220447,255948.53733734385
2015-07-23,245114.7874354879,47090.897893913934,41924.35094660515,257565.6413563061
2015-07-24,243010.83116150525,47551.288256872045,42028.20965753651,256791.49135118764
2015-07-27,242108.5372379936,47330.120824177815,42253.268749879244,256252.95313012187
2015-07-28,244732.71104754446,47402.33739807796,41945.12107874037,257658.40316905425
2015-07-29,244903.78227247292,47470.04258009248,41789.31643828837,257650.04182566758
2015-07-30,245204.29972739646,47063.81374482972,42111.312442665476,257822.05264149635
2015-07-31,244345.11720347882,47361.715913782784,42422.91414685864,257942.3857934507
2015-08-03,244064.46306033287,46987.082168124994,42869.474118715756,257919.39383138093
2015-08-04,243109.20365517194,47081.868791034496,42529.44648962775,256984.55815096796
2015-08-05,244329.33234763306,46910.351042785136,42210.18899267495,257217.56347513074
2015-08-06,242724.52193082267,47117.97843207918,42584.94021399933,256838.34746119325
2015-08-07,243281.4990767606,47235.33465263318,43143.58152222718,257993.60703106824
2015-08-10,245618.16125595034,47718.29461323579,42609.24014629724,259355.74547452782
2015-08-11,244215.53645300344,47962.032094939386,43285.83805660798,259508.91668656844
2015-08-12,244622.48804368638,48634.56484999614,43049.89312496554,260170.32934310572
2015-08-13,243940.20395518496,48232.8505661731,42911.098200349865,259152.26091370214
2015-08-14,243464.54913087483,48228.33556336851,43011.71597321931,258960.25467277484
2015-08-17,244413.95686454044,48354.717275882984,43206.04061158307,259939.64658872946
2015-08-18,242589.65082621877,48345.69178392251,42866.005879328644,258335.12178616776
2015-08-19,241663.2408053884,48995.65810088887,43289.32097587235,258903.70106714644
2015-08-20,237517.07964128855,49848.737255709544,43726.51992148636,257603.93342046472
2015-08-21,234822.80884829798,50160.17675987356,43858.3712641614,256329.1516011519
2015-08-24,231735.4257977576,49889.35874000472,43844.49404471307,254032.64815970403
2015-08-25,230359.38187191417,49270.9911235623,43140.12417436189,251661.41880258606
2015-08-26,236769.20999049314,48598.45475758659,42307.36078274538,254136.80554778187
2015-08-27,240831.2458311765,48625.538906670794,42331.65361187688,256831.71240716125
