initial_capital,baskets.budget_mode,baskets.count,baskets.slices,entry.first_slice_mult,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,pnl_yr_cap,mdd_cap,test_pnl_yr_cap,test_mdd_cap,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
100000000,fixed,4,6,3.0,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.001,0.1721621861496335,0.07025529044040879,-0.2545999511859428,320,949,0.6607897240878037,0.2759438488230464,-0.12545151744884797,-0.12867009460896284,0.07807330200652714,0.012495889510029596,0.09458125628954477,317,0.7760252365930599,17902,0.1721621861496335,-0.4563268074718383,0.2879488388144578,-0.22641261889457584,0.10586180531609496,0.0644927293423394,-0.2545999511859428,0.25331006169454534,0.5493384809202978,0.10672836484033696,0.07877453923870559,-0.0777375020265183,1.0133402435781063,1.075356184099703
100000000,fixed,4,4,2.0,0.25,1.0,0.3,,0.2,40,True,2,0.02,20,,0.001,0.17195537579126646,0.07021238839044397,-0.21631253282156981,582,888,0.6727001833548523,0.32458770407149834,-0.10859101926816184,-0.14133286969416958,0.06715028722687978,0.0004932587964485367,0.08768425946216525,433,0.8013856812933026,18387,0.17195537579126646,-0.40914502168519257,0.26017523887858257,-0.24121055922472776,0.12084939261884171,0.07027351149489913,-0.21631253282156981,0.3248702725554316,0.6006666465432745,0.0887792660429024,0.06827556863141271,-0.07793902994838142,0.8760125533590966,0.9716840742836822
100000000,fixed,4,4,3.0,0.25,0.5,0.2,,0.2,40,True,1,0.02,20,,0.001,0.171694196876076,0.07015815077508769,-0.26433511073612637,344,1022,0.6247454939074442,0.26541366593226945,-0.21383505349088638,-0.1769502081049783,0.08341203974717348,0.05639592239394936,0.09565923272943204,414,0.7801932367149759,16327,0.171694196876076,-0.475421949897967,0.2602153426491202,-0.3403416936398387,0.11970623315435967,0.06984833131880741,-0.26433511073612637,0.26424159516415435,0.5567777674150636,0.0889950919383867,0.06840654037465965,-0.10946005619685673,0.6249452334615558,0.9100840146889272
100000000,fixed,4,4,3.0,0.25,0.5,0.2,,0.2,60,True,2,0.02,20,0.15,0.001,0.17111948436439292,0.07003857855514384,-0.2200449671241409,430,1016,0.6467369460669539,0.318292117608992,-0.14684509894582154,-0.1486458437411381,0.07401215334260366,0.010687273923051627,0.09233100684559059,324,0.7716049382716049,17695,0.17111948436439292,-0.4782984084334791,0.26922710562806346,-0.2759092437426013,0.11467020946529352,0.0679452927690849,-0.2200449671241409,0.3087791266352971,0.5661539307877997,0.0950347184607805,0.07202333033392971,-0.09015191714266979,0.7989106900516524,0.9492643712664782
100000000,fixed,4,6,2.0,0.25,1.0,0.1,,0.2,40,True,2,0.02,20,,0.001,0.1710571989609889,0.07002560110604761,-0.18955414848365582,600,1165,0.6749337799069527,0.3694226777214824,-0.11763825434413355,-0.12124630311800366,0.06708950317987745,0.0,0.09481465424611214,438,0.821917808219178,19706,0.1710571989609889,-0.46348074309057535,0.26882719572003577,-0.29168527838214636,0.11505620669448997,0.06809291986672195,-0.18955414848365582,0.3592267455575799,0.5922277432449045,0.09482941955028115,0.07190189199546348,-0.0963270166900505,0.7464353663813834,0.9757172552323279
100000000,fixed,4,6,3.0,0.25,1.0,0.1,,0.2,60,True,2,0.02,20,0.15,0.001,0.17082719228665336,0.06997764653490268,-0.27127345949031323,463,993,0.6650525226668729,0.25795979697527865,-0.184666150798093,-0.14816615883404638,0.08668479727308745,0.018908253863860573,0.0966045807639504,316,0.7943037974683544,18786,0.17082719228665336,-0.5312886784545222,0.28348623119476296,-0.22170546937146782,0.1064556994185243,0.06473072022657589,-0.27127345949031323,0.23861796265729904,0.5616218101233235,0.10484459228634929,0.07770835464212755,-0.06752043607635849,1.1508864450201062,1.009394228155827
100000000,fixed,4,6,1.0,0.25,1.0,0.1,,0.2,60,True,2,0.02,20,,0.001,0.17078287060770472,0.06996840008982708,-0.21418959974092344,279,896,0.6741680699876734,0.3266657212789907,-0.10443208951715766,-0.11967420699124265,0.06580423705166924,0.0006576783952647156,0.09226419445182568,326,0.7822085889570553,19978,0.17078287060770472,-0.39684294596480907,0.2662288547136947,-0.22150133668640734,0.11587362839859237,0.06840456769292791,-0.21418959974092344,0.3193645619379642,0.586791118986702,0.09339889221996478,0.07105280816232806,-0.07355669478144955,0.9659597725732376,1.0519770826521495
100000000,fixed,4,4,1.0,0.25,1.0,0.2,,0.2,40,True,2,0.02,20,0.15,0.001,0.17034978397219072,0.06987795142472808,-0.24187715267414678,420,932,0.6351761812706317,0.2888985199807879,-0.15255370748372643,-0.14098056289815264,0.08492938020367168,0.014304505097007564,0.09080623282087436,416,0.7932692307692307,17565,0.17034978397219072,-0.4912080236006686,0.2811710026245558,-0.31140520564297763,0.1070496471963052,0.06496795807195288,-0.24187715267414678,0.26859898652551417,0.542104963734882,0.10367130045820762,0.0770402406115911,-0.10687273957916221,0.7208596028786766,0.9360727411870227
100000000,fixed,4,6,3.0,0.25,1.0,0.1,,0.2,40,True,1,0.02,20,,0.001,0.17009966639215715,0.0698256343936694,-0.2470024686809259,299,909,0.6559400649114907,0.28269205067690684,-0.1434074864105347,-0.12814029431582097,0.07615370807737801,0.010194015126603092,0.09543580662136072,424,0.8136792452830188,17445,0.17009966639215715,-0.4531781911765769,0.2790758749051951,-0.32503333154857456,0.107575441630951,0.06517733154865168,-0.2470024686809259,0.26387319890655336,0.5556575290695148,0.10245005682497979,0.07634147892949605,-0.11044107464810948,0.6912417248087948,1.0135012912138575
100000000,fixed,4,4,2.0,0.25,0.5,0.2,,0.2,60,True,2,0.02,20,,0.001,0.1685570194484964,0.06950164213153931,-0.2425416802077095,576,957,0.6260973766011557,0.2865554574868081,-0.13368558604622605,-0.17702306024623427,0.07293958455535433,0.012824728707661954,0.09641801539618695,322,0.7608695652173914,18568,0.1685570194484964,-0.4580205222154981,0.2627526534650732,-0.27298102924221873,0.11419492601114686,0.06776310717038836,-0.2425416802077095,0.2793874731648471,0.5485786195696983,0.09296414312860168,0.07079375380606256,-0.09124010673319238,0.7759060827611723,0.9414658705775647
