regime.ref_vol_bear_abs,regime.ref_vol_bear_rel,regime.bear_max_baskets,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,pnl_yr_cap,mdd_cap,test_pnl_yr_cap,test_mdd_cap,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
0.03,2.2,1,1.4650892201475871,0.1561556427368156,-0.36672086337473575,430,896,0.824059631693901,0.42581608610919713,-0.1798011826791417,-0.21536410367897996,0.1111181565388553,0.1010807374443738,0.163817758672007,319,0.786833855799373,17524,1.4652399150388022,-2.9692381888942863,3.7727614615804153,-2.9692381888942863,0.2219551213551308,0.09846257599449504,-0.36672086337473575,0.2684946121919453,0.5835747741129448,0.7898193136424582,0.2674549457544504,-0.1781661758498163,1.5011544389878992,1.2154901026335594
0.03,,1,1.4650892201475871,0.1561556427368156,-0.36672086337473575,430,896,0.824059631693901,0.42581608610919713,-0.1798011826791417,-0.21536410367897996,0.1111181565388553,0.1010807374443738,0.163817758672007,319,0.786833855799373,17524,1.4652399150388022,-2.9692381888942863,3.7727614615804153,-2.9692381888942863,0.2219551213551308,0.09846257599449504,-0.36672086337473575,0.2684946121919453,0.5835747741129448,0.7898193136424582,0.2674549457544504,-0.1781661758498163,1.5011544389878992,1.2154901026335594
0.035,1.5,1,1.4544851431718164,0.1558555452533148,-0.3667207437818283,430,896,0.8360310540941354,0.4249978979810243,-0.17980260804900716,-0.21536410367897985,0.11349714663048212,0.12559618441971382,0.16178828805821788,323,0.7678018575851393,17479,1.4546347473579717,-2.869974587891209,3.719727260459934,-2.869974587891209,0.23323170116314287,0.1011160639584574,-0.3667207437818283,0.27573041796243186,0.5929703200236418,0.7491137126316235,0.26077230122169004,-0.18111732984300688,1.4397976242678068,1.2603070974332495
0.035,1.8,1,1.4473490427244473,0.15563424183431906,-0.3667207437818283,430,896,0.8253885551804772,0.4243944322029133,-0.17980260804900716,-0.21536410367897985,0.1135813130711884,0.12559618441971382,0.1626657578868841,324,0.7623456790123457,17579,1.447497912911699,-2.940492980209773,3.6992433565006544,-2.940492980209773,0.23323170116314287,0.1011160639584574,-0.3667207437818283,0.27573041796243186,0.5929703200236418,0.7449884711099567,0.26007959263034763,-0.17609515072915494,1.4769264886252653,1.2149165296202302
0.03,1.8,1,1.4149980458520937,0.15459150208576133,-0.36672074378182884,430,896,0.8191683975100456,0.421551015880715,-0.1798011826791417,-0.21536410367897996,0.11124771799581999,0.10139860139860139,0.1627195401017275,319,0.768025078369906,17444,1.4151435885082386,-2.870418165275429,3.631105282204038,-2.870418165275429,0.22083908588748186,0.09819637993651109,-0.36672074378182884,0.267768817558165,0.5823088998386532,0.7631695728681875,0.26311077393037574,-0.17609515072915505,1.4941398036284144,1.206998387669333
0.03,1.5,1,1.3293961732923145,0.15179478748725406,-0.36672074378182884,430,896,0.8170940859615676,0.413924737177018,-0.1798011826791417,-0.21536410367897996,0.11121103717867675,0.10139860139860139,0.16175193246923322,319,0.7711598746081505,17292,1.3295329111844247,-2.726815406000775,3.3853345480572075,-2.726815406000775,0.22083908588748186,0.09819637993651109,-0.36672074378182884,0.267768817558165,0.5823088998386532,0.7115145720832785,0.2543472448739317,-0.181117329843007,1.4043230710965129,1.2163808328315087
0.025,,1,1.1999184068755873,0.14709200661777255,-0.36672086337473564,430,904,0.8012544754195736,0.4011007316686692,-0.1798026080490066,-0.2153641036789803,0.10969598365532808,0.09706115965051629,0.15926041929352158,321,0.794392523364486,16913,1.20004182705458,-2.690629231230598,3.0520961504575705,-2.690629231230598,0.20271488523320536,0.09364339954689171,-0.36672086337473564,0.2553533460985603,0.5696333407293184,0.6845209879658861,0.24957292154098254,-0.17816541862931,1.4007932822263482,1.181334488638197
0.025,2.2,1,1.1999184068755873,0.14709200661777255,-0.36672086337473564,430,904,0.8012544754195736,0.4011007316686692,-0.1798026080490066,-0.2153641036789803,0.10969598365532808,0.09706115965051629,0.15926041929352158,321,0.794392523364486,16913,1.20004182705458,-2.690629231230598,3.0520961504575705,-2.690629231230598,0.20271488523320536,0.09364339954689171,-0.36672086337473564,0.2553533460985603,0.5696333407293184,0.6845209879658861,0.24957292154098254,-0.17816541862931,1.4007932822263482,1.181334488638197
0.025,1.5,1,1.1376227200190128,0.14473217299056906,-0.3667207437818293,430,904,0.7930046049804358,0.3946659016286071,-0.1798026080490066,-0.2153641036789803,0.1101650581902403,0.09737887212073074,0.15884970594198197,321,0.7881619937694704,16829,1.1377397326416434,-2.5528503078887494,2.8750404586212066,-2.5528503078887494,0.20167507214114733,0.09337886059562606,-0.3667207437818293,0.25463206589474885,0.5683401853623931,0.6473606861763394,0.24276140733401896,-0.1811173298430071,1.3403543854386826,1.1643564990218955
0.04,2.2,0,1.114313442211711,0.14403435856751257,-0.39418719619453446,450,1177,0.7777349149438638,0.36539583212751153,-0.24139403941799287,-0.248965088158831,0.13898174000046384,0.18212183871480833,0.1495730239866207,310,0.7645161290322581,15751,1.114428057308624,-2.464570032425858,2.905843166512752,-2.464570032425858,0.147426909656321,0.0781062537765862,-0.39418719619453446,0.19814508063838823,0.4884247017891994,0.822149494556257,0.2725755255987903,-0.1868736915562389,1.458608343040945,1.2541960177506464
