baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,risk.vol_target_annual,risk.dd_scale_start,risk.dd_scale_floor,risk.dd_scale_min_mult,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.25,0.45,0.1,0.3,0.25,0.001,0.29321128281750164,0.09032510204951061,-0.31430619880091815,2789,6114,0.6419672961141699,0.2873793211654811,-0.23654476491287346,-0.15697848166963135,0.2187296000240252,0.6170667543571193,0.09185998914649045,308,0.7337662337662337,15987,0.009894176567710536,0.009243295081983849,-0.31430619880091815,0.02940856756006445,0.14198155509639462,0.6919247616736761,0.2536932762146433,-0.18737726787389442,1.3539170417693347,1.1463339890209645
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,,,,0.3,0.25,0.001,1.7558465307717452,0.1688526104329131,-0.40825588642846655,434,1047,0.7651059744021531,0.41359504185005547,-0.23160589803671894,-0.26386387190902794,0.1489129008728673,0.18793160144689247,0.1956390112719063,314,0.7515923566878981,17169,0.19015468392232437,0.09232627361751566,-0.40825588642846655,0.2261480524511502,0.5019044168308383,1.1060084274845114,0.3157588455926146,-0.19621740642673113,1.6092295344374608,1.1637351008877515
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,,,0.1,0.3,0.25,0.001,0.2739231763037858,0.08765012543321271,-0.3044386520889957,2919,6188,0.6107521800320402,0.28790734958184677,-0.2364807949826555,-0.20404600527909356,0.21190747710437283,0.634166392634002,0.08390810618612293,309,0.7572815533980582,16476,0.01025074964237547,0.009554329265068384,-0.3044386520889957,0.03138343045309304,0.14129829090413057,0.6433544839182903,0.24465124107085834,-0.1829367288677799,1.3373544098281296,1.1110381979113568
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,,0.3,,0.3,0.25,0.001,0.5520773023495238,0.11648283739463317,-0.28750821348894917,371,1008,0.7316468177999296,0.4051461208050335,-0.1460838931815528,-0.16328646617248088,0.11201882464803055,0.07234462347911871,0.154953010740554,305,0.7540983606557377,14817,0.1195794721123231,0.0698010321936402,-0.28750821348894917,0.24277926305685563,0.49483751831860695,0.4444779401738056,0.20130609650831688,-0.17961203309840212,1.1207829065552053,1.0972537744069384
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,,0.3,0.1,0.3,0.25,0.001,0.19984117074217891,0.07566549515420773,-0.2815022743209574,1655,3431,0.5738448339798549,0.2687917720619799,-0.16110879976902814,-0.16654674838355898,0.14878929458835247,0.22130878000657678,0.11373679116124712,299,0.7424749163879598,15386,0.026720841180605838,0.022585419796603334,-0.2815022743209574,0.08023174893021418,0.2398429800878653,0.34569225071513765,0.1744342659051199,-0.20594235580270548,0.8470052953663859,1.0093514508358492
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,,0.45,,0.3,0.25,0.001,1.1413520794925816,0.14879412106881662,-0.37799692442824817,398,998,0.755700055207986,0.3936384437357,-0.18171311600030216,-0.22631146745661668,0.13408093399046042,0.15307464649786254,0.18202859308156594,308,0.7435064935064936,16286,0.1811505718873559,0.08980522868108953,-0.37799692442824817,0.23758190312507813,0.5295859560753122,0.7161506772733667,0.2580253201135132,-0.23191527120486177,1.1125844312580313,1.0909261632313796
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,,0.45,0.1,0.3,0.25,0.001,0.21053401822417636,0.0775974184129431,-0.3044412147633141,2919,6244,0.6214208761522695,0.25488473521323557,-0.21474258325705353,-0.14773182931994056,0.20878824119043224,0.6211772443275239,0.07927362942826988,304,0.7532894736842105,16174,0.005588213098927456,0.0053722231902118,-0.3044412147633141,0.017646175779414103,0.1044658101042477,0.5311608619865893,0.2216382228347722,-0.15596576737444856,1.4210696780829777,1.1506849924429035
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,0.25,,,0.3,0.25,0.001,1.9096811047126225,0.17283069472461987,-0.3975461019111449,467,1055,0.793245595764488,0.43474377913344264,-0.2631825621041147,-0.3011557926699481,0.15110891312729557,0.18414995067412035,0.1838064367787015,308,0.7694805194805194,16432,0.2134759156956185,0.09848669927461806,-0.3975461019111449,0.24773654879561796,0.5417628427460895,1.0999339843958191,0.3149932655075529,-0.19632159840636354,1.6044758603460043,1.1585149380111701
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,0.25,,0.1,0.3,0.25,0.001,0.2757439976733335,0.08790925817681217,-0.3031974059163225,2919,6188,0.6193878652191978,0.28994066723998846,-0.25548126889364364,-0.20423112770594054,0.22070830832256683,0.6621177244327524,0.07839541157433569,306,0.7647058823529411,16210,0.01041676789354339,0.00969866870808489,-0.3031974059163225,0.03198796730721886,0.14454589293863998,0.6458139215958142,0.2451211963851081,-0.18402608245538343,1.33199160203031,1.1104354408630484
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,0.25,0.3,,0.3,0.25,0.001,0.45518781874277153,0.10828013660084213,-0.32447944478572266,453,1303,0.6932938339465622,0.3337041478000166,-0.1784943182073928,-0.1633118252269189,0.12249990067723822,0.09339033212758961,0.14930212650287497,301,0.7408637873754153,14418,0.09533064409612206,0.06013796727943954,-0.32447944478572266,0.185336754749297,0.44284080828433314,0.428207557854947,0.19718344482829053,-0.18349477237092915,1.0745997952992914,1.0818741586254434
