rules.ma_window,rules.exit_band,rules.mom_window,rules.trail_pct,rules.target_vol_annual,rules.cooldown_days,cagr,mdd,calmar,rec,uw,worst_year,expo,is_cagr,is_mdd,oos_cagr,oos_mdd,n_trades
100,0.03,60,0.35,0.35,5,0.12391063060564456,-0.4754348751663341,0.26062587554666367,367.0,2275,-0.31882035014486465,0.3572987371896095,0.09727892079420974,-0.4754348751663341,0.16718274317387882,-0.44760346200699874,278
100,0.03,60,0.35,0.35,20,0.10169839888153254,-0.4830678141057233,0.21052613300226006,582.0,2547,-0.3339206132474615,0.3364974369062073,0.08741989909749681,-0.475395525479139,0.12132290614728447,-0.4830678141057233,250
100,0.03,60,0.35,0.5,5,0.15364812356110336,-0.6298250428306411,0.243953658734429,432.0,3246,-0.43415969734291604,0.48066146657748066,0.11464034940120205,-0.6298250428306411,0.21811131626935176,-0.5231747640079911,270
100,0.03,60,0.35,0.5,20,0.1345604574764503,-0.6193271723655989,0.21726877728047927,431.0,2584,-0.35747136002575475,0.45326309502893725,0.10484170812001259,-0.6193271723655989,0.1807648483734703,-0.5458929026002071,244
100,0.03,120,0.15,0.25,5,0.07045243704369519,-0.4008276847936131,0.17576739261403884,463.0,1553,-0.22018498879161463,0.20109442213864331,0.06424146386126117,-0.4008276847936131,0.07826317792498183,-0.32389719725243693,339
100,0.03,120,0.15,0.25,20,0.032520712112792394,-0.4479306978052887,0.07260210624574974,423.0,1948,-0.20569065757908245,0.15993114310922343,0.026289517931086248,-0.4479306978052887,0.039285238461077565,-0.3370814074233228,254
100,0.03,120,0.15,0.35,5,0.07587009124519772,-0.5097490789738268,0.14883811344579848,479.0,1785,-0.29706299026927285,0.2795532129547921,0.05895647343080479,-0.5097490789738268,0.1004658828735372,-0.41213967550837316,369
100,0.03,120,0.15,0.35,20,0.018319344178309382,-0.5408489016917417,0.033871464139073985,501.0,2227,-0.27988700721299486,0.21997380454757634,0.0033789912716608583,-0.5408489016917417,0.039600431137265524,-0.43788987268198754,276
100,0.03,120,0.15,0.5,5,0.09054897706584697,-0.6107943030094061,0.14824790706086946,552.0,1786,-0.40271240379155715,0.3736357686688718,0.06666110973216832,-0.6107943030094061,0.1255070184463376,-0.5192881701017054,358
100,0.03,120,0.15,0.5,20,0.01812306332328517,-0.594242872277226,0.030497737825335502,1939.0,4735,-0.34404072924941365,0.29266382399460533,0.00013755724374919787,-0.594242872277226,0.04259272362532984,-0.532441146653224,261
100,0.03,120,0.25,0.25,5,0.12246238510679408,-0.33057660789243504,0.37045084916184273,221.0,1273,-0.14145728580613826,0.22652785895586497,0.1031734832691269,-0.33057660789243504,0.1534156631725656,-0.2955228486400392,235
100,0.03,120,0.25,0.25,20,0.11516556570092651,-0.358825799753833,0.32095118517100524,243.0,2611,-0.16212444135870652,0.2101460208284767,0.08359148017328999,-0.358825799753833,0.1700053075871173,-0.3018266599750181,199
100,0.03,120,0.25,0.35,5,0.1334666497787691,-0.41617860350493385,0.32069560677736003,214.0,2542,-0.20088430320174366,0.3117197295903392,0.10588476199249075,-0.41617860350493385,0.1782342073775356,-0.387657144062185,281
100,0.03,120,0.25,0.35,20,0.1260407495211151,-0.4504416919801778,0.27981590462248257,553.0,2617,-0.22732093539177645,0.2912806924170618,0.08346257911465127,-0.4504416919801778,0.20064158528146048,-0.40716869366893327,240
100,0.03,120,0.25,0.5,5,0.16737796616529343,-0.4888117143743891,0.3424180747785759,603.0,2550,-0.2607755651840118,0.41733549329459557,0.13375802506940415,-0.4888117143743891,0.22058904111225885,-0.4857977511471485,267
100,0.03,120,0.25,0.5,20,0.16944112934351696,-0.6039542799167985,0.28055290769172025,586.0,2648,-0.31369514917482355,0.386052480296979,0.10430249339764286,-0.6039542799167985,0.2871532703813855,-0.508628780824252,226
100,0.03,120,0.35,0.25,5,0.12498944352155972,-0.35992263526645374,0.3472675271701903,533.0,1042,-0.1963437273412476,0.23056696717062652,0.11381376686134836,-0.33057660789243504,0.1405922326314375,-0.35992263526645374,201
100,0.03,120,0.35,0.25,20,0.10556542265984414,-0.3735617308806446,0.2825916413091388,598.0,1268,-0.22432345683903743,0.21982448952082467,0.10656057561665966,-0.33057660785772125,0.0988019671763003,-0.3735617308806446,182
100,0.03,120,0.35,0.35,5,0.13846280220692386,-0.4670775873938203,0.2964449717647826,536.0,1224,-0.2691819303389871,0.3184050448189315,0.13311284644530752,-0.41617860350493374,0.1411196326189117,-0.4670775873938203,244
100,0.03,120,0.35,0.35,20,0.10885203376408992,-0.4897705677866181,0.22225107208057931,521.0,1822,-0.30846203166332975,0.3052564458259402,0.11490838990260754,-0.4161786035049335,0.09096377390201305,-0.4897705677866181,225
100,0.03,120,0.35,0.5,5,0.17872713099303517,-0.5583433904692581,0.3201025283792192,536.0,2172,-0.3122545374771537,0.42934130153796224,0.1727067232436228,-0.49239094341163137,0.17936595740678207,-0.5583433904692581,241
100,0.03,120,0.35,0.5,20,0.14805166538188774,-0.566757261404729,0.26122588180861794,521.0,2579,-0.34655430871092263,0.4084877886685529,0.1451471730462035,-0.542353939421107,0.14321735428153137,-0.566757261404729,209
200,0.0,20,0.15,0.25,5,0.055859696664710023,-0.44381635371168904,0.12586218645966676,479.0,1828,-0.2758790765410294,0.20169516296490989,0.035620490092810986,-0.44381635371168904,0.09318818450551491,-0.34144934274122385,374
200,0.0,20,0.15,0.25,20,0.03148478868068727,-0.4486117352345875,0.0701827130407618,423.0,1849,-0.2426820230507718,0.16686163446784227,0.01575180010878685,-0.4486117352345875,0.0603230235364256,-0.31125833363374744,287
200,0.0,20,0.15,0.35,5,0.05140616999590497,-0.5634429860256577,0.09123579718066466,1289.0,3092,-0.34865710293083507,0.2819501291300659,0.014028630068414927,-0.5634429860256577,0.12192573215056535,-0.4243982634900576,409
200,0.0,20,0.15,0.35,20,0.02316617086647632,-0.6052319924693663,0.038276514055308915,1454.0,5509,-0.3046786012673447,0.23004899270418666,-0.004122053599468933,-0.6052319924693663,0.07397143357941283,-0.38553378513231995,313
200,0.0,20,0.15,0.5,5,0.06569503777233443,-0.6711037494162431,0.0978910307526653,3169.0,4394,-0.4056951408354408,0.3755140302841268,0.01788383422059181,-0.6711037494162431,0.1571394001964148,-0.5098900199270158,388
200,0.0,20,0.15,0.5,20,0.030333220726043164,-0.7100493842595942,0.04271987469952278,1492.0,5347,-0.35627742912469074,0.3049922011036544,-0.0030675485855814477,-0.7100493842595942,0.0930415079425222,-0.4691363337871183,291
200,0.0,20,0.25,0.25,5,0.09156779329485731,-0.4585823311060463,0.19967579883421727,473.0,1826,-0.18593464786438962,0.2324154444876928,0.056536372408597435,-0.4585823311060463,0.15206547264762094,-0.314552881188254,284
200,0.0,20,0.25,0.25,20,0.09576135577135325,-0.48443092662272447,0.19767803934188607,413.0,1828,-0.15581487778516256,0.21681689637188148,0.05072980469873145,-0.48443092662272447,0.1760267644949236,-0.2891918833679974,238
200,0.0,20,0.25,0.35,5,0.09885855879403604,-0.5595934711469799,0.1766613870447934,487.0,2619,-0.28705906712067186,0.32267426110388914,0.04874920770005775,-0.5595934711469799,0.18718486356741826,-0.4321416455791989,328
200,0.0,20,0.25,0.35,20,0.10380118430259277,-0.5690469654392387,0.1824123325611098,420.0,3764,-0.25398430877642897,0.3015480156722117,0.040824163939328084,-0.5690469654392387,0.21861171028715676,-0.4057975587410727,289
