baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,6,0.25,1.0,0.3,,0.2,60,True,1,0.02,20,0.3,0.001,0.36016263697320805,0.09858398547090763,-0.2768395203377205,524,1096,0.7177862606494917,0.35610517367839534,-0.19099406065755442,0.11131657935819292,307,0.7654723127035831,16654,0.08040983398864865,0.053482870404528926,-0.2768395203377205,0.19319087946433516,0.45064820211898315,0.37330964682447687,0.18242141069481388,-0.14308831554525303,1.2748868417360144,1.11774222441773
4,8,0.25,0.5,0.1,,0.2,60,True,1,0.02,20,0.25,0.001,0.3501706049817503,0.09743931672912942,-0.2687429713636682,379,958,0.7452767401784389,0.3625743818887551,-0.15934818940059647,0.11135705869613256,316,0.7753164556962026,17341,0.0828544297232816,0.05461605583024198,-0.2687429713636682,0.20322784835304392,0.46631590679896356,0.35782520300877835,0.17799368217902511,-0.13702133939108763,1.2990216193332764,1.2021253872342792
4,8,0.25,1.5,0.2,,0.2,60,True,1,0.02,20,0.3,0.001,0.3500190263907355,0.0974217374281694,-0.29123905027339303,522,1110,0.7143937592793937,0.3345078118360752,-0.1541344431345113,0.1193731136815406,315,0.7682539682539683,17953,0.07875514104219727,0.052705613471623725,-0.29123905027339303,0.18097028342232166,0.4386298104900578,0.3674004412306096,0.18074646544470174,-0.13526865041514147,1.3362036576101572,1.1539938032064474
4,8,0.25,1.5,0.2,,0.2,60,True,1,0.02,20,,0.001,0.3500190263907355,0.0974217374281694,-0.29123905027339303,522,1110,0.7143937592793937,0.3345078118360752,-0.1541344431345113,0.1193731136815406,315,0.7682539682539683,17953,0.07875514104219727,0.052705613471623725,-0.29123905027339303,0.18097028342232166,0.4386298104900578,0.3674004412306096,0.18074646544470174,-0.13526865041514147,1.3362036576101572,1.1539938032064474
4,6,0.25,0.5,0.2,,0.2,60,True,1,0.02,20,0.25,0.001,0.34717911155026293,0.09709116650894756,-0.30949732755980197,535,1121,0.6902332248373546,0.31370599311616776,-0.2302293421789432,0.11470296638871365,313,0.7635782747603834,16596,0.07379059283221956,0.05032199275927551,-0.30949732755980197,0.16259265679621143,0.41601950791698294,0.3841251656838484,0.18544137684635187,-0.15632066591148752,1.18628829889551,1.1158791058904844
4,6,0.25,1.0,0.3,,0.2,60,True,1,0.02,20,0.25,0.001,0.34173361540853386,0.09645077120754175,-0.30162687374174035,559,1131,0.7106131640441791,0.31976849413664993,-0.2199311225910192,0.10779456294719116,309,0.7605177993527508,16333,0.07084322390914798,0.04886858525701432,-0.30162687374174035,0.16201668190499727,0.4222740531642858,0.3889770639933516,0.18677747976544912,-0.14395741398649586,1.2974495345058785,1.147370809324488
4,6,0.25,1.5,0.3,,0.2,60,True,1,0.02,20,0.25,0.001,0.32033729315156306,0.09384704662951604,-0.37345643288920727,616,1318,0.6398698036399649,0.25129315862489776,-0.23825577216220728,0.12464281629941976,309,0.7443365695792881,16762,0.049150938124856935,0.03715399405559894,-0.37345643288920727,0.09948682304964165,0.3156592605766013,0.45225636790373525,0.20323986057469368,-0.14982827503200402,1.356485353190382,1.154320487327421
4,8,0.25,1.5,0.2,,0.2,60,True,1,0.02,20,0.25,0.001,0.30748446475555435,0.09221103883656756,-0.3248019921321099,565,1153,0.6889873721118411,0.2838992403687649,-0.195226461402363,0.11565400747590127,314,0.767515923566879,17615,0.059225384293364415,0.04283421447118885,-0.3248019921321099,0.1318779302737973,0.37374445568141607,0.3882375344140673,0.18657456308569764,-0.13717650741373344,1.3601057980210591,1.2031438663580334
4,8,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,0.3,0.001,0.30009492661171067,0.09124408091246838,-0.2413430517742018,502,1090,0.7522849744851259,0.3780679834853313,-0.1613873613786414,0.10034397964583074,309,0.7637540453074434,17457,0.07768960937836188,0.052200629523186715,-0.2413430517742018,0.2162922410214035,0.4862941950401335,0.30942520578564137,0.16328003103441646,-0.12134878300221896,1.3455432101979197,1.15634432714758
4,8,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,0.25,0.001,0.30009492661171067,0.09124408091246838,-0.2413430517742018,502,1090,0.7522849744851259,0.3780679834853313,-0.1613873613786414,0.10034397964583074,309,0.7637540453074434,17457,0.07768960937836188,0.052200629523186715,-0.2413430517742018,0.2162922410214035,0.4862941950401335,0.30942520578564137,0.16328003103441646,-0.12134878300221896,1.3455432101979197,1.15634432714758
4,8,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,,0.001,0.30009492661171067,0.09124408091246838,-0.2413430517742018,502,1090,0.7522849744851259,0.3780679834853313,-0.1613873613786414,0.10034397964583074,309,0.7637540453074434,17457,0.07768960937836188,0.052200629523186715,-0.2413430517742018,0.2162922410214035,0.4862941950401335,0.30942520578564137,0.16328003103441646,-0.12134878300221896,1.3455432101979197,1.15634432714758
4,6,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,,0.001,0.2463230928821647,0.08353595087070054,-0.283535374269542,559,1131,0.6634322887238343,0.2946226765739902,-0.19656283424721144,0.10027523821180608,307,0.7687296416938111,16124,0.06411741917386056,0.04543741283943059,-0.283535374269542,0.1602530652709163,0.4124535966496769,0.28008452261245337,0.15362490485923797,-0.1326950975760569,1.1577285646983657,1.0484391542571876
4,6,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,0.3,0.001,0.2463230928821647,0.08353595087070054,-0.283535374269542,559,1131,0.6634322887238343,0.2946226765739902,-0.19656283424721144,0.10027523821180608,307,0.7687296416938111,16124,0.06411741917386056,0.04543741283943059,-0.283535374269542,0.1602530652709163,0.4124535966496769,0.28008452261245337,0.15362490485923797,-0.1326950975760569,1.1577285646983657,1.0484391542571876
4,6,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,0.25,0.001,0.2259890461328829,0.08025515537705141,-0.3063304814384299,603,1175,0.6451235390325232,0.2619888004621639,-0.22324434163040952,0.09736439444237893,308,0.7662337662337663,15798,0.05435329764709839,0.040143725301834854,-0.3063304814384299,0.13104711327887703,0.3756346783177303,0.28526792411537677,0.15537546553527015,-0.13269509757605924,1.1709209185080165,1.0611108218102774
4,8,0.25,1.5,0.3,,0.2,60,True,1,0.02,20,0.3,0.001,0.21417201458482663,0.07823682191533554,-0.24989979987815436,522,1110,0.679985888139841,0.3130727673790939,-0.1368469859883663,0.09724063144317865,310,0.7580645161290323,17245,0.05534726692678567,0.040700926325488496,-0.24989979987815436,0.16286898326982804,0.4022080992315344,0.2630539718662901,0.14772756191757264,-0.1096886799930088,1.3467894948411114,1.114419803668918
