baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,regime.bear_max_baskets,cagr,mdd,calmar,worst_year,is_calmar,is_mdd,oos25_cagr,oos25_mdd
6,0.5,0.5,0.0,1,0.03163895812070727,-0.3252638581658003,0.09727166829761824,-0.15858988486940917,-0.020283106395247223,-0.3252638581658003,0.041365908117955374,-0.24678007295441517
6,0.5,0.5,0.1,0,0.03046488428431604,-0.23117320900460836,0.13178380148587518,-0.0807015435059183,-0.013732556366544753,-0.23117320900460836,0.039214654829413886,-0.16520181378726329
6,0.5,0.5,0.1,1,0.030063056051121917,-0.24389440615584534,0.12326258943352729,-0.07214970792765485,-0.013799473142978998,-0.24389440615584534,0.03663698763851264,-0.17732175800795946
6,0.5,0.5,0.2,0,0.032910273483046426,-0.15999355386142544,0.20569749648508256,-0.041375837880714195,0.05210306476259308,-0.15999355386142544,0.03376696423913628,-0.10678375539476903
6,0.5,0.5,0.2,1,0.031556927873334084,-0.16002168390574167,0.19720407324248762,-0.04090522602479274,0.04156578375642869,-0.16002168390574167,0.03065629509783152,-0.14576290489456833
6,0.5,1.0,0.0,0,0.032596803836363764,-0.3305041110597374,0.0986275291155819,-0.15432239342772236,-0.024608961686419822,-0.3305041110597374,0.043660164234460286,-0.24678007295441529
6,0.5,1.0,0.0,1,0.032528902219917555,-0.3274791328044472,0.09933122132499983,-0.15858988486940817,-0.021558941561591945,-0.3274791328044472,0.04187555727880854,-0.24678007295441473
6,0.5,1.0,0.1,0,0.031240550723333094,-0.23117320900460836,0.13513914894312137,-0.08070154350591685,-0.013732556366544753,-0.23117320900460836,0.03873424683683391,-0.16520181378726284
6,0.5,1.0,0.1,1,0.03175897805016481,-0.23780889791130544,0.13354831685906815,-0.0721497079276534,-0.00939010846604054,-0.23780889791130544,0.037200467623818234,-0.17732175800795957
6,0.5,1.0,0.2,0,0.03347643986109028,-0.15999355386142544,0.20923617891558988,-0.041375837880714195,0.05210306476259308,-0.15999355386142544,0.0331050530401098,-0.10678375539476903
6,0.5,1.0,0.2,1,0.033040050325789494,-0.16002055379655633,0.20647379065938792,-0.04088418643560887,0.048015024863682955,-0.16002055379655633,0.03085552387303081,-0.14576290489456745
6,0.5,1.5,0.0,0,0.028670305946980168,-0.3303134915571925,0.08679725981466918,-0.1781139113751795,-0.029985618862324304,-0.3303134915571925,0.036799902432314235,-0.26155531813062294
6,0.5,1.5,0.0,1,0.02708266087927269,-0.3243382834064782,0.08350127710743059,-0.18324040672930753,-0.025134189342177347,-0.3243382834064782,0.03257120839273897,-0.26918505314128927
6,0.5,1.5,0.1,0,0.02837118058185606,-0.22636954652409946,0.12533126039917938,-0.11866920407155601,-0.005399562547027462,-0.22636954652409946,0.032741601479644444,-0.19952481194619975
6,0.5,1.5,0.1,1,0.027864740084208472,-0.23261955889053743,0.11978674629557112,-0.10622207050462862,-0.00035554483943765454,-0.23261955889053743,0.029195208920805182,-0.19952481194619998
6,0.5,1.5,0.2,0,0.03140115676168098,-0.15999355386142455,0.19626513696219605,-0.07054176161695147,0.05850685565743177,-0.15999355386142455,0.028297970498311065,-0.14412723404642125
6,0.5,1.5,0.2,1,0.030681182980674793,-0.1595862295254843,0.19225457655026132,-0.060615914729603815,0.05642419004203922,-0.15934858495148907,0.025601103987094254,-0.1595862295254843
8,0.0,0.5,0.0,0,0.026440825279541835,-0.3758479014186492,0.07034980155467184,-0.21389623851227557,-0.024397872742647483,-0.3758479014186492,0.030920709403458924,-0.33098135923187155
